pelodiscus_sinensis ENSPSIG00000005505
melopsittacus_undulatus ENSMUNG00000008633
urocitellus_parryii ENSUPAG00010017158
marmota_marmota_marmota ENSMMMG00000019116
theropithecus_gelada ENSTGEG00000017778
sorex_araneus ENSSARG00000000243
cebus_capucinus_imitator ENSCCAG00000021764
saimiri_boliviensis_boliviensis ENSSBOG00000008746
callithrix_jacchus ENSCJAG00000039948
rhinopithecus_bieti ENSRBIG00000038345
mandrillus_leucophaeus ENSMLEG00000027869
theropithecus_gelada ENSTGEG00000006481
papio_anubis ENSPANG00000031833
chlorocebus_sabaeus ENSCSAG00000018396
macaca_mulatta ENSMMUG00000020102
piliocolobus_tephrosceles ENSPTEG00000034125
mandrillus_leucophaeus ENSMLEG00000033437
gorilla_gorilla ENSGGOG00000038575
gorilla_gorilla ENSGGOG00000040652
nomascus_leucogenys ENSNLEG00000033290
carlito_syrichta ENSTSYG00000008836
erinaceus_europaeus ENSEEUG00000014652
