gorilla_gorilla ENSGGOG00000038718
nomascus_leucogenys ENSNLEG00000027213
piliocolobus_tephrosceles ENSPTEG00000028719
rhinopithecus_bieti ENSRBIG00000027563
papio_anubis ENSPANG00000016965
homo_sapiens ENSG00000135747
cebus_capucinus_imitator ENSCCAG00000030207
callithrix_jacchus ENSCJAG00000046048
cebus_capucinus_imitator ENSCCAG00000024210
callithrix_jacchus ENSCJAG00000046734
aotus_nancymaae ENSANAG00000027751
mandrillus_leucophaeus ENSMLEG00000033581
macaca_fascicularis ENSMFAG00000037395
chlorocebus_sabaeus ENSCSAG00000005603
rhinopithecus_roxellana ENSRROG00000045129
colobus_angolensis_palliatus ENSCANG00000035432
pan_paniscus ENSPPAG00000034332
homo_sapiens ENSG00000197302
pongo_abelii ENSPPYG00000007727
aotus_nancymaae ENSANAG00000024839
carlito_syrichta ENSTSYG00000029480
microcebus_murinus ENSMICG00000043348
