theropithecus_gelada ENSTGEG00000008841
nomascus_leucogenys ENSNLEG00000010053
ochotona_princeps ENSOPRG00000005943
sorex_araneus ENSSARG00000006782
sorex_araneus ENSSARG00000006928
erinaceus_europaeus ENSEEUG00000004357
pteropus_vampyrus ENSPVAG00000014114
echinops_telfairi ENSETEG00000019665
sarcophilus_harrisii ENSSHAG00000000392
castor_canadensis ENSCCNG00000006687
castor_canadensis ENSCCNG00000009386
otolemur_garnettii ENSOGAG00000013952
ursus_maritimus ENSUMAG00000012265
oryctolagus_cuniculus ENSOCUG00000016906
loxodonta_africana ENSLAFG00000010814
ornithorhynchus_anatinus ENSOANG00000003444
vicugna_pacos ENSVPAG00000001431
poecilia_mexicana ENSPMEG00000005547
poecilia_formosa ENSPFOG00000024058
oryzias_latipes_asm223467v1 ENSORLG00000022428
