dipodomys_ordii ENSDORG00000004333
castor_canadensis ENSCCNG00000027591
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027477
mus_spicilegus ENSMSIG00000017263
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028813
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028828
rattus_norvegicus ENSRNOG00000048129
meriones_unguiculatus ENSMUGG00000012400
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013310
cricetulus_griseus_crigri-picr ENSCGRG00015008245
cricetulus_griseus_crigri_1.0 ENSCGRG00000005858
mesocricetus_auratus ENSMAUG00000018336
microtus_ochrogaster ENSMOCG00000010936
peromyscus_maniculatus_bairdii ENSPEMG00000015521
nannospalax_galili ENSNGAG00000022465
jaculus_jaculus ENSJJAG00000012762
chinchilla_lanigera ENSCLAG00000011889
octodon_degus ENSODEG00000006294
cavia_porcellus ENSCPOG00000004093
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010463
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000866
fukomys_damarensis ENSFDAG00000013003
urocitellus_parryii ENSUPAG00010005924
spermophilus_dauricus ENSSDAG00000012848
ictidomys_tridecemlineatus ENSSTOG00000021960
marmota_marmota_marmota ENSMMMG00000008230
oryctolagus_cuniculus ENSOCUG00000007215
ochotona_princeps ENSOPRG00000000024
propithecus_coquereli ENSPCOG00000020848
microcebus_murinus ENSMICG00000010438
prolemur_simus ENSPSMG00000021247
otolemur_garnettii ENSOGAG00000011132
tupaia_belangeri ENSTBEG00000007187
pan_troglodytes ENSPTRG00000000512
pan_paniscus ENSPPAG00000040160
gorilla_gorilla ENSGGOG00000002112
homo_sapiens ENSG00000142698
pongo_abelii ENSPPYG00000001569
nomascus_leucogenys ENSNLEG00000003476
piliocolobus_tephrosceles ENSPTEG00000021210
colobus_angolensis_palliatus ENSCANG00000042911
rhinopithecus_bieti ENSRBIG00000037497
rhinopithecus_roxellana ENSRROG00000040590
mandrillus_leucophaeus ENSMLEG00000036052
cercocebus_atys ENSCATG00000042668
papio_anubis ENSPANG00000019095
theropithecus_gelada ENSTGEG00000017912
macaca_mulatta ENSMMUG00000000952
macaca_fascicularis ENSMFAG00000000568
macaca_nemestrina ENSMNEG00000015831
chlorocebus_sabaeus ENSCSAG00000001076
cebus_capucinus_imitator ENSCCAG00000022635
saimiri_boliviensis_boliviensis ENSSBOG00000024989
callithrix_jacchus ENSCJAG00000001370
aotus_nancymaae ENSANAG00000036338
carlito_syrichta ENSTSYG00000013743
pteropus_vampyrus ENSPVAG00000009232
myotis_lucifugus ENSMLUG00000005387
equus_caballus ENSECAG00000023699
equus_asinus_asinus ENSEASG00005011987
ursus_americanus ENSUAMG00000020949
ursus_maritimus ENSUMAG00000008148
ailuropoda_melanoleuca ENSAMEG00000000906
neovison_vison ENSNVIG00000017556
mustela_putorius_furo ENSMPUG00000014954
canis_lupus_dingo ENSCAFG00020010767
canis_lupus_familiaris ENSCAFG00000024816
vulpes_vulpes ENSVVUG00000001070
panthera_tigris_altaica ENSPTIG00000013954
panthera_pardus ENSPPRG00000003240
felis_catus ENSFCAG00000006418
ovis_aries ENSOARG00000019408
capra_hircus ENSCHIG00000011528
bos_mutus ENSBMUG00000000719
bos_taurus ENSBTAG00000020798
bison_bison_bison ENSBBBG00000021343
tursiops_truncatus ENSTTRG00000005312
sus_scrofa ENSSSCG00000003623
erinaceus_europaeus ENSEEUG00000012376
loxodonta_africana ENSLAFG00000014181
procavia_capensis ENSPCAG00000007843
dasypus_novemcinctus ENSDNOG00000004284
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026497
phascolarctos_cinereus ENSPCIG00000017223
notamacropus_eugenii ENSMEUG00000007670
sarcophilus_harrisii ENSSHAG00000012853
monodelphis_domestica ENSMODG00000017969
ornithorhynchus_anatinus ENSOANG00000003227
notechis_scutatus ENSNSUG00000011852
pogona_vitticeps ENSPVIG00000020456
salvator_merianae ENSSMRG00000011719
sphenodon_punctatus ENSSPUG00000008253
apteryx_haastii ENSAHAG00000017903
apteryx_rowi ENSARWG00000009510
dromaius_novaehollandiae ENSDNVG00000013349
coturnix_japonica ENSCJPG00005017112
crocodylus_porosus ENSCPRG00005000245
gopherus_agassizii ENSGAGG00000001115
chelonoidis_abingdonii ENSCABG00000008687
chrysemys_picta_bellii ENSCPBG00000018722
latimeria_chalumnae ENSLACG00000003013
