ursus_americanus ENSUAMG00000012018
ailuropoda_melanoleuca ENSAMEG00000019124
mustela_putorius_furo ENSMPUG00000019122
neovison_vison ENSNVIG00000008176
canis_lupus_familiaris ENSCAFG00000017468
canis_lupus_dingo ENSCAFG00020008423
vulpes_vulpes ENSVVUG00000019475
panthera_pardus ENSPPRG00000012185
panthera_tigris_altaica ENSPTIG00000005427
equus_caballus ENSECAG00000011723
tursiops_truncatus ENSTTRG00000003583
capra_hircus ENSCHIG00000020503
sus_scrofa ENSSSCG00000012504
vicugna_pacos ENSVPAG00000003199
myotis_lucifugus ENSMLUG00000006315
sorex_araneus ENSSARG00000006504
pan_troglodytes ENSPTRG00000022080
pan_paniscus ENSPPAG00000019923
homo_sapiens ENSG00000186310
gorilla_gorilla ENSGGOG00000016989
pongo_abelii ENSPPYG00000020530
nomascus_leucogenys ENSNLEG00000000881
macaca_fascicularis ENSMFAG00000030124
macaca_mulatta ENSMMUG00000012702
macaca_nemestrina ENSMNEG00000037633
theropithecus_gelada ENSTGEG00000025513
mandrillus_leucophaeus ENSMLEG00000028157
cercocebus_atys ENSCATG00000042920
papio_anubis ENSPANG00000015472
chlorocebus_sabaeus ENSCSAG00000000062
colobus_angolensis_palliatus ENSCANG00000019372
piliocolobus_tephrosceles ENSPTEG00000013489
rhinopithecus_roxellana ENSRROG00000037025
rhinopithecus_bieti ENSRBIG00000021177
saimiri_boliviensis_boliviensis ENSSBOG00000023902
cebus_capucinus_imitator ENSCCAG00000023985
callithrix_jacchus ENSCJAG00000008264
aotus_nancymaae ENSANAG00000029163
carlito_syrichta ENSTSYG00000031462
propithecus_coquereli ENSPCOG00000003468
microcebus_murinus ENSMICG00000001406
otolemur_garnettii ENSOGAG00000025630
tupaia_belangeri ENSTBEG00000006658
castor_canadensis ENSCCNG00000011659
dipodomys_ordii ENSDORG00000025524
mus_spicilegus ENSMSIG00000010737
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034535
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055733
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033371
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031910
rattus_norvegicus ENSRNOG00000029087
meriones_unguiculatus ENSMUGG00000003814
cricetulus_griseus_crigri-picr ENSCGRG00015020392
cricetulus_griseus_crigri_1.0 ENSCGRG00000017101
mesocricetus_auratus ENSMAUG00000021329
peromyscus_maniculatus_bairdii ENSPEMG00000021317
nannospalax_galili ENSNGAG00000017883
jaculus_jaculus ENSJJAG00000016020
ictidomys_tridecemlineatus ENSSTOG00000002910
marmota_marmota_marmota ENSMMMG00000003367
oryctolagus_cuniculus ENSOCUG00000025516
loxodonta_africana ENSLAFG00000016565
