microcebus_murinus ENSMICG00000034278
otolemur_garnettii ENSOGAG00000024205
piliocolobus_tephrosceles ENSPTEG00000008055
piliocolobus_tephrosceles ENSPTEG00000025479
rhinopithecus_bieti ENSRBIG00000034559
macaca_fascicularis ENSMFAG00000037727
macaca_nemestrina ENSMNEG00000029358
theropithecus_gelada ENSTGEG00000029086
cercocebus_atys ENSCATG00000039169
cebus_capucinus_imitator ENSCCAG00000027640
ictidomys_tridecemlineatus ENSSTOG00000027155
urocitellus_parryii ENSUPAG00010017604
chinchilla_lanigera ENSCLAG00000002428
cavia_porcellus ENSCPOG00000022991
octodon_degus ENSODEG00000016782
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016803
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006853
mus_spicilegus ENSMSIG00000026269
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031733
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047751
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030622
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013827
rattus_norvegicus ENSRNOG00000050207
meriones_unguiculatus ENSMUGG00000009973
cricetulus_griseus_crigri-picr ENSCGRG00015027832
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000232
cricetulus_griseus_crigri_1.0 ENSCGRG00000013800
mesocricetus_auratus ENSMAUG00000004108
microtus_ochrogaster ENSMOCG00000021457
peromyscus_maniculatus_bairdii ENSPEMG00000018394
nannospalax_galili ENSNGAG00000001612
jaculus_jaculus ENSJJAG00000020923
castor_canadensis ENSCCNG00000001747
bos_taurus ENSBTAG00000024999
capra_hircus ENSCHIG00000026237
sus_scrofa ENSSSCG00000010771
myotis_lucifugus ENSMLUG00000005313
pteropus_vampyrus ENSPVAG00000000342
canis_lupus_dingo ENSCAFG00020019898
neovison_vison ENSNVIG00000009696
ailuropoda_melanoleuca ENSAMEG00000002500
equus_caballus ENSECAG00000039888
equus_asinus_asinus ENSEASG00005015070
procavia_capensis ENSPCAG00000016807
loxodonta_africana ENSLAFG00000031553
