cavia_porcellus ENSCPOG00000012311
cavia_aperea ENSCAPG00000017506
chinchilla_lanigera ENSCLAG00000014519
octodon_degus ENSODEG00000002865
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003447
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009015
fukomys_damarensis ENSFDAG00000011159
dipodomys_ordii ENSDORG00000015718
jaculus_jaculus ENSJJAG00000009788
ochotona_princeps ENSOPRG00000005593
erinaceus_europaeus ENSEEUG00000012825
microcebus_murinus ENSMICG00000006626
propithecus_coquereli ENSPCOG00000011355
otolemur_garnettii ENSOGAG00000010044
chlorocebus_sabaeus ENSCSAG00000010403
macaca_nemestrina ENSMNEG00000038607
piliocolobus_tephrosceles ENSPTEG00000037749
pan_troglodytes ENSPTRG00000004583
homo_sapiens ENSG00000111653
callithrix_jacchus ENSCJAG00000008004
pan_paniscus ENSPPAG00000035325
gorilla_gorilla ENSGGOG00000016035
theropithecus_gelada ENSTGEG00000009119
macaca_mulatta ENSMMUG00000016985
colobus_angolensis_palliatus ENSCANG00000029034
aotus_nancymaae ENSANAG00000018382
saimiri_boliviensis_boliviensis ENSSBOG00000016889
pongo_abelii ENSPPYG00000004195
nomascus_leucogenys ENSNLEG00000004431
rhinopithecus_roxellana ENSRROG00000040119
rhinopithecus_bieti ENSRBIG00000029015
cercocebus_atys ENSCATG00000030917
macaca_fascicularis ENSMFAG00000001174
mandrillus_leucophaeus ENSMLEG00000028668
papio_anubis ENSPANG00000008024
cebus_capucinus_imitator ENSCCAG00000027875
microtus_ochrogaster ENSMOCG00000010335
peromyscus_maniculatus_bairdii ENSPEMG00000018496
cricetulus_griseus_crigri-picr ENSCGRG00015003111
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016033
cricetulus_griseus_crigri_1.0 ENSCGRG00000015891
mus_spicilegus ENSMSIG00000005976
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030330
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029908
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028866
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022626
meriones_unguiculatus ENSMUGG00000012210
rattus_norvegicus ENSRNOG00000023363
nannospalax_galili ENSNGAG00000016704
castor_canadensis ENSCCNG00000025332
tupaia_belangeri ENSTBEG00000005899
pteropus_vampyrus ENSPVAG00000011436
myotis_lucifugus ENSMLUG00000029523
equus_caballus ENSECAG00000024784
equus_asinus_asinus ENSEASG00005016144
panthera_pardus ENSPPRG00000004136
panthera_tigris_altaica ENSPTIG00000020118
felis_catus ENSFCAG00000006880
neovison_vison ENSNVIG00000024639
mustela_putorius_furo ENSMPUG00000016840
ursus_maritimus ENSUMAG00000005092
ursus_americanus ENSUAMG00000022890
ailuropoda_melanoleuca ENSAMEG00000014135
