ursus_maritimus ENSUMAG00000001302
ursus_americanus ENSUAMG00000011231
canis_lupus_familiaris ENSCAFG00000023401
canis_lupus_dingo ENSCAFG00020009613
ovis_aries ENSOARG00000002100
bison_bison_bison ENSBBBG00000004997
bison_bison_bison ENSBBBG00000019258
bos_mutus ENSBMUG00000011822
tursiops_truncatus ENSTTRG00000011272
sus_scrofa ENSSSCG00000013842
panthera_tigris_altaica ENSPTIG00000014950
equus_caballus ENSECAG00000016410
equus_caballus ENSECAG00000017014
microcebus_murinus ENSMICG00000017526
microcebus_murinus ENSMICG00000027403
otolemur_garnettii ENSOGAG00000033275
papio_anubis ENSPANG00000031741
mandrillus_leucophaeus ENSMLEG00000036348
papio_anubis ENSPANG00000029889
theropithecus_gelada ENSTGEG00000009471
piliocolobus_tephrosceles ENSPTEG00000034798
pan_paniscus ENSPPAG00000037690
pan_troglodytes ENSPTRG00000010628
homo_sapiens ENSG00000186529
aotus_nancymaae ENSANAG00000031350
gorilla_gorilla ENSGGOG00000040592
carlito_syrichta ENSTSYG00000006027
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032327
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000003484
mus_spicilegus ENSMSIG00000023724
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031206
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021671
rattus_norvegicus ENSRNOG00000015751
meriones_unguiculatus ENSMUGG00000013840
peromyscus_maniculatus_bairdii ENSPEMG00000023609
microtus_ochrogaster ENSMOCG00000002994
cricetulus_griseus_crigri_1.0 ENSCGRG00000011719
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014686
cricetulus_griseus_crigri-picr ENSCGRG00015007209
peromyscus_maniculatus_bairdii ENSPEMG00000026298
jaculus_jaculus ENSJJAG00000019533
castor_canadensis ENSCCNG00000005566
castor_canadensis ENSCCNG00000014523
castor_canadensis ENSCCNG00000005047
cavia_porcellus ENSCPOG00000022613
cavia_aperea ENSCAPG00000011619
octodon_degus ENSODEG00000012210
fukomys_damarensis ENSFDAG00000020350
octodon_degus ENSODEG00000012644
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014604
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006444
fukomys_damarensis ENSFDAG00000016211
octodon_degus ENSODEG00000011468
octodon_degus ENSODEG00000010516
cavia_porcellus ENSCPOG00000033269
urocitellus_parryii ENSUPAG00010000077
ursus_americanus ENSUAMG00000028224
canis_lupus_dingo ENSCAFG00020009611
procavia_capensis ENSPCAG00000016924
choloepus_hoffmanni ENSCHOG00000013981
zonotrichia_albicollis ENSZALG00000002124
