salvator_merianae ENSSMRG00000001468
pogona_vitticeps ENSPVIG00000016673
notechis_scutatus ENSNSUG00000013061
sphenodon_punctatus ENSSPUG00000014528
anser_brachyrhynchus ENSABRG00000000430
anas_platyrhynchos_platyrhynchos ENSAPLG00000014579
gallus_gallus ENSGALG00000005689
coturnix_japonica ENSCJPG00005018835
numida_meleagris ENSNMEG00000002793
melopsittacus_undulatus ENSMUNG00000013719
lepidothrix_coronata ENSLCOG00000004966
manacus_vitellinus ENSMVIG00005016818
cyanistes_caeruleus ENSCCEG00000018041
serinus_canaria ENSSCAG00000017234
taeniopygia_guttata ENSTGUG00000007620
ficedula_albicollis ENSFALG00000007308
parus_major ENSPMJG00000015525
lonchura_striata_domestica ENSLSDG00000003366
dromaius_novaehollandiae ENSDNVG00000003619
apteryx_owenii ENSAOWG00000009066
apteryx_haastii ENSAHAG00000003944
apteryx_rowi ENSARWG00000004928
calidris_pygmaea ENSCPGG00000015485
crocodylus_porosus ENSCPRG00005000769
nothoprocta_perdicaria ENSNPEG00000012188
gopherus_agassizii ENSGAGG00000020697
chelonoidis_abingdonii ENSCABG00000006674
chrysemys_picta_bellii ENSCPBG00000020459
phascolarctos_cinereus ENSPCIG00000001066
notamacropus_eugenii ENSMEUG00000013247
monodelphis_domestica ENSMODG00000019353
sarcophilus_harrisii ENSSHAG00000014328
dasypus_novemcinctus ENSDNOG00000013328
oryctolagus_cuniculus ENSOCUG00000012860
chinchilla_lanigera ENSCLAG00000007272
myotis_lucifugus ENSMLUG00000015106
choloepus_hoffmanni ENSCHOG00000009521
propithecus_coquereli ENSPCOG00000019488
microcebus_murinus ENSMICG00000001357
prolemur_simus ENSPSMG00000009108
otolemur_garnettii ENSOGAG00000015274
castor_canadensis ENSCCNG00000020267
dipodomys_ordii ENSDORG00000006193
mus_spicilegus ENSMSIG00000013194
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023925
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000004231
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023004
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014494
rattus_norvegicus ENSRNOG00000014253
meriones_unguiculatus ENSMUGG00000014283
peromyscus_maniculatus_bairdii ENSPEMG00000007884
microtus_ochrogaster ENSMOCG00000015583
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019089
cricetulus_griseus_crigri-picr ENSCGRG00015023113
cricetulus_griseus_crigri_1.0 ENSCGRG00000011516
mesocricetus_auratus ENSMAUG00000015931
nannospalax_galili ENSNGAG00000011967
jaculus_jaculus ENSJJAG00000000526
urocitellus_parryii ENSUPAG00010010652
spermophilus_dauricus ENSSDAG00000022814
ictidomys_tridecemlineatus ENSSTOG00000011575
marmota_marmota_marmota ENSMMMG00000023055
pan_paniscus ENSPPAG00000004195
pan_troglodytes ENSPTRG00000002853
nomascus_leucogenys ENSNLEG00000014786
macaca_nemestrina ENSMNEG00000045259
macaca_mulatta ENSMMUG00000009163
macaca_fascicularis ENSMFAG00000041514
theropithecus_gelada ENSTGEG00000018408
cercocebus_atys ENSCATG00000040463
mandrillus_leucophaeus ENSMLEG00000038896
chlorocebus_sabaeus ENSCSAG00000005568
rhinopithecus_roxellana ENSRROG00000036335
piliocolobus_tephrosceles ENSPTEG00000027936
colobus_angolensis_palliatus ENSCANG00000031633
pongo_abelii ENSPPYG00000002572
cebus_capucinus_imitator ENSCCAG00000035623
saimiri_boliviensis_boliviensis ENSSBOG00000030216
aotus_nancymaae ENSANAG00000008318
callithrix_jacchus ENSCJAG00000017397
papio_anubis ENSPANG00000021132
sus_scrofa ENSSSCG00000010556
equus_asinus_asinus ENSEASG00005008965
equus_caballus ENSECAG00000021123
bos_mutus ENSBMUG00000003356
bos_taurus ENSBTAG00000021566
bison_bison_bison ENSBBBG00000021192
capra_hircus ENSCHIG00000026895
ovis_aries ENSOARG00000015552
neovison_vison ENSNVIG00000018769
mustela_putorius_furo ENSMPUG00000016955
ursus_americanus ENSUAMG00000018204
panthera_pardus ENSPPRG00000022822
ailuropoda_melanoleuca ENSAMEG00000017523
ursus_maritimus ENSUMAG00000022813
canis_lupus_familiaris ENSCAFG00000009709
felis_catus ENSFCAG00000011602
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007584
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011421
fukomys_damarensis ENSFDAG00000002162
rhinopithecus_bieti ENSRBIG00000026489
carlito_syrichta ENSTSYG00000028170
tupaia_belangeri ENSTBEG00000016999
canis_lupus_dingo ENSCAFG00020008648
vulpes_vulpes ENSVVUG00000024932
panthera_tigris_altaica ENSPTIG00000015726
gorilla_gorilla ENSGGOG00000014908
echinops_telfairi ENSETEG00000014765
erinaceus_europaeus ENSEEUG00000001995
ochotona_princeps ENSOPRG00000007096
pteropus_vampyrus ENSPVAG00000002148
tursiops_truncatus ENSTTRG00000015106
loxodonta_africana ENSLAFG00000002388
homo_sapiens ENSG00000075891
procavia_capensis ENSPCAG00000006623
cavia_aperea ENSCAPG00000012584
cavia_porcellus ENSCPOG00000000939
octodon_degus ENSODEG00000006975
ornithorhynchus_anatinus ENSOANG00000029256
anolis_carolinensis ENSACAG00000011033
xenopus_tropicalis ENSXETG00000014206
latimeria_chalumnae ENSLACG00000017470
scleropages_formosus ENSSFOG00015013687
paramormyrops_kingsleyae ENSPKIG00000007166
lepisosteus_oculatus ENSLOCG00000005490
astyanax_mexicanus ENSAMXG00000033357
pygocentrus_nattereri ENSPNAG00000000687
ictalurus_punctatus ENSIPUG00000024635
danio_rerio ENSDARG00000028148
scophthalmus_maximus ENSSMAG00000002390
hippocampus_comes ENSHCOG00000019743
gasterosteus_aculeatus ENSGACG00000002432
