poecilia_mexicana ENSPMEG00000014305
poecilia_formosa ENSPFOG00000016476
poecilia_latipinna ENSPLAG00000023756
poecilia_reticulata ENSPREG00000019068
xiphophorus_couchianus ENSXCOG00000009698
xiphophorus_maculatus ENSXMAG00000012999
gambusia_affinis ENSGAFG00000003863
fundulus_heteroclitus ENSFHEG00000020157
cyprinodon_variegatus ENSCVAG00000014130
kryptolebias_marmoratus ENSKMAG00000021055
oryzias_latipes_asm223467v1 ENSORLG00000025193
oryzias_latipes_asm223471v1 ENSORLG00020018453
oryzias_latipes_asm223469v1 ENSORLG00015006981
oryzias_melastigma ENSOMEG00000023386
monopterus_albus ENSMALG00000010557
mastacembelus_armatus ENSMAMG00000016404
anabas_testudineus ENSATEG00000006290
seriola_lalandi_dorsalis ENSSLDG00000003083
seriola_dumerili ENSSDUG00000002034
scophthalmus_maximus ENSSMAG00000020147
amphiprion_percula ENSAPEG00000016281
amphiprion_ocellaris ENSAOCG00000012462
acanthochromis_polyacanthus ENSAPOG00000006470
stegastes_partitus ENSSPAG00000014850
gasterosteus_aculeatus ENSGACG00000012569
takifugu_rubripes ENSTRUG00000025168
mola_mola ENSMMOG00000005124
labrus_bergylta ENSLBEG00000008424
cynoglossus_semilaevis ENSCSEG00000005944
haplochromis_burtoni ENSHBUG00000002392
pundamilia_nyererei ENSPNYG00000022189
astatotilapia_calliptera ENSACLG00000018139
maylandia_zebra ENSMZEG00005024419
neolamprologus_brichardi ENSNBRG00000016688
amphilophus_citrinellus ENSACIG00000007732
hippocampus_comes ENSHCOG00000019213
gadus_morhua ENSGMOG00000019061
