taeniopygia_guttata ENSTGUG00000018414
lonchura_striata_domestica ENSLSDG00000014343
junco_hyemalis ENSJHYG00000012621
zonotrichia_albicollis ENSZALG00000004518
parus_major ENSPMJG00000015713
cyanistes_caeruleus ENSCCEG00000013720
ficedula_albicollis ENSFALG00000010301
calidris_pygmaea ENSCPGG00000013855
anser_brachyrhynchus ENSABRG00000005617
anas_platyrhynchos_platyrhynchos ENSAPLG00000023206
meleagris_gallopavo ENSMGAG00000011004
coturnix_japonica ENSCJPG00005010408
numida_meleagris ENSNMEG00000013718
apteryx_owenii ENSAOWG00000009815
crocodylus_porosus ENSCPRG00005016355
chelonoidis_abingdonii ENSCABG00000005228
chrysemys_picta_bellii ENSCPBG00000004880
sphenodon_punctatus ENSSPUG00000009527
notamacropus_eugenii ENSMEUG00000004519
phascolarctos_cinereus ENSPCIG00000011568
sarcophilus_harrisii ENSSHAG00000010193
monodelphis_domestica ENSMODG00000024930
microcebus_murinus ENSMICG00000007022
prolemur_simus ENSPSMG00000004228
propithecus_coquereli ENSPCOG00000018176
otolemur_garnettii ENSOGAG00000000537
rhinopithecus_bieti ENSRBIG00000037484
rhinopithecus_roxellana ENSRROG00000031283
colobus_angolensis_palliatus ENSCANG00000038947
piliocolobus_tephrosceles ENSPTEG00000014003
macaca_fascicularis ENSMFAG00000040366
macaca_nemestrina ENSMNEG00000032713
macaca_mulatta ENSMMUG00000046464
theropithecus_gelada ENSTGEG00000017301
cercocebus_atys ENSCATG00000032939
papio_anubis ENSPANG00000026089
mandrillus_leucophaeus ENSMLEG00000030836
chlorocebus_sabaeus ENSCSAG00000014569
pan_paniscus ENSPPAG00000033262
pan_troglodytes ENSPTRG00000020267
homo_sapiens ENSG00000170791
gorilla_gorilla ENSGGOG00000002029
pongo_abelii ENSPPYG00000018604
nomascus_leucogenys ENSNLEG00000001238
cebus_capucinus_imitator ENSCCAG00000029296
saimiri_boliviensis_boliviensis ENSSBOG00000001463
callithrix_jacchus ENSCJAG00000043436
aotus_nancymaae ENSANAG00000022037
carlito_syrichta ENSTSYG00000013323
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026732
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042198
mus_spicilegus ENSMSIG00000023876
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025784
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0023907
rattus_norvegicus ENSRNOG00000031769
meriones_unguiculatus ENSMUGG00000007466
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011586
cricetulus_griseus_crigri_1.0 ENSCGRG00000010198
microtus_ochrogaster ENSMOCG00000015783
nannospalax_galili ENSNGAG00000013871
castor_canadensis ENSCCNG00000003160
dipodomys_ordii ENSDORG00000004592
jaculus_jaculus ENSJJAG00000004951
marmota_marmota_marmota ENSMMMG00000001389
urocitellus_parryii ENSUPAG00010005055
spermophilus_dauricus ENSSDAG00000002584
ictidomys_tridecemlineatus ENSSTOG00000002724
cavia_porcellus ENSCPOG00000030280
cavia_aperea ENSCAPG00000004864
chinchilla_lanigera ENSCLAG00000009729
octodon_degus ENSODEG00000019639
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000947
fukomys_damarensis ENSFDAG00000020023
equus_caballus ENSECAG00000010468
equus_asinus_asinus ENSEASG00005016359
pteropus_vampyrus ENSPVAG00000006399
myotis_lucifugus ENSMLUG00000002085
capra_hircus ENSCHIG00000013735
ovis_aries ENSOARG00000014997
bos_taurus ENSBTAG00000049910
bos_mutus ENSBMUG00000011692
bison_bison_bison ENSBBBG00000017425
sus_scrofa ENSSSCG00000032573
tursiops_truncatus ENSTTRG00000016852
vicugna_pacos ENSVPAG00000010732
canis_lupus_familiaris ENSCAFG00000007055
canis_lupus_dingo ENSCAFG00020015527
vulpes_vulpes ENSVVUG00000017849
ursus_americanus ENSUAMG00000025784
ursus_maritimus ENSUMAG00000009788
ailuropoda_melanoleuca ENSAMEG00000006095
neovison_vison ENSNVIG00000014049
mustela_putorius_furo ENSMPUG00000010442
panthera_pardus ENSPPRG00000002603
panthera_tigris_altaica ENSPTIG00000008683
felis_catus ENSFCAG00000032943
tupaia_belangeri ENSTBEG00000013587
oryctolagus_cuniculus ENSOCUG00000005913
procavia_capensis ENSPCAG00000016913
echinops_telfairi ENSETEG00000020301
loxodonta_africana ENSLAFG00000017177
choloepus_hoffmanni ENSCHOG00000002122
dasypus_novemcinctus ENSDNOG00000014484
ornithorhynchus_anatinus ENSOANG00000005504
notechis_scutatus ENSNSUG00000016280
xenopus_tropicalis ENSXETG00000026434
latimeria_chalumnae ENSLACG00000000034
scleropages_formosus ENSSFOG00015014845
paramormyrops_kingsleyae ENSPKIG00000010440
gasterosteus_aculeatus ENSGACG00000000104
hippocampus_comes ENSHCOG00000000715
kryptolebias_marmoratus ENSKMAG00000000308
seriola_lalandi_dorsalis ENSSLDG00000012751
seriola_dumerili ENSSDUG00000022676
poecilia_latipinna ENSPLAG00000017744
poecilia_mexicana ENSPMEG00000011577
poecilia_formosa ENSPFOG00000009470
poecilia_reticulata ENSPREG00000005670
xiphophorus_maculatus ENSXMAG00000004420
xiphophorus_couchianus ENSXCOG00000001070
cyprinodon_variegatus ENSCVAG00000014062
oryzias_latipes_asm223471v1 ENSORLG00020014324
oryzias_latipes_asm223467v1 ENSORLG00000026664
oryzias_latipes_asm223469v1 ENSORLG00015011425
oryzias_melastigma ENSOMEG00000009975
labrus_bergylta ENSLBEG00000025502
anabas_testudineus ENSATEG00000018464
cynoglossus_semilaevis ENSCSEG00000009525
mastacembelus_armatus ENSMAMG00000021605
monopterus_albus ENSMALG00000016028
scophthalmus_maximus ENSSMAG00000004872
amphiprion_ocellaris ENSAOCG00000015342
amphiprion_percula ENSAPEG00000010668
acanthochromis_polyacanthus ENSAPOG00000007780
stegastes_partitus ENSSPAG00000020940
maylandia_zebra ENSMZEG00005014780
maylandia_zebra ENSMZEG00005003804
astatotilapia_calliptera ENSACLG00000005825
haplochromis_burtoni ENSHBUG00000008357
pundamilia_nyererei ENSPNYG00000009282
neolamprologus_brichardi ENSNBRG00000015422
amphilophus_citrinellus ENSACIG00000022473
mola_mola ENSMMOG00000005775
takifugu_rubripes ENSTRUG00000024856
periophthalmus_magnuspinnatus ENSPMGG00000014476
