ictalurus_punctatus ENSIPUG00000024585
pygocentrus_nattereri ENSPNAG00000020900
xiphophorus_couchianus ENSXCOG00000015193
xiphophorus_couchianus ENSXCOG00000015195
anolis_carolinensis ENSACAG00000007763
pogona_vitticeps ENSPVIG00000006822
notechis_scutatus ENSNSUG00000002098
salvator_merianae ENSSMRG00000001816
sphenodon_punctatus ENSSPUG00000007522
apteryx_owenii ENSAOWG00000005097
apteryx_rowi ENSARWG00000008795
apteryx_haastii ENSAHAG00000018047
dromaius_novaehollandiae ENSDNVG00000014042
nothoprocta_perdicaria ENSNPEG00000013975
lepidothrix_coronata ENSLCOG00000007006
manacus_vitellinus ENSMVIG00005003609
taeniopygia_guttata ENSTGUG00000007376
lonchura_striata_domestica ENSLSDG00000014317
serinus_canaria ENSSCAG00000008874
junco_hyemalis ENSJHYG00000009154
zonotrichia_albicollis ENSZALG00000009905
ficedula_albicollis ENSFALG00000010390
parus_major ENSPMJG00000012648
cyanistes_caeruleus ENSCCEG00000010192
melopsittacus_undulatus ENSMUNG00000014789
calidris_pygmaea ENSCPGG00000009511
calidris_pugnax ENSCPUG00000003670
meleagris_gallopavo ENSMGAG00000010839
gallus_gallus ENSGALG00000010224
coturnix_japonica ENSCJPG00005016145
numida_meleagris ENSNMEG00000001921
anser_brachyrhynchus ENSABRG00000002091
anas_platyrhynchos_platyrhynchos ENSAPLG00000019827
crocodylus_porosus ENSCPRG00005006174
chelonoidis_abingdonii ENSCABG00000020337
gopherus_agassizii ENSGAGG00000017225
chrysemys_picta_bellii ENSCPBG00000018107
pelodiscus_sinensis ENSPSIG00000002795
anolis_carolinensis ENSACAG00000007743
anolis_carolinensis ENSACAG00000005178
anolis_carolinensis ENSACAG00000029585
pogona_vitticeps ENSPVIG00000006825
notechis_scutatus ENSNSUG00000002101
salvator_merianae ENSSMRG00000001811
