mandrillus_leucophaeus ENSMLEG00000042572
microcebus_murinus ENSMICG00000000163
cricetulus_griseus_crigri-picr ENSCGRG00015019937
mesocricetus_auratus ENSMAUG00000020826
mus_spicilegus ENSMSIG00000024029
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011401
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016543
canis_lupus_familiaris ENSCAFG00000031626
canis_lupus_familiaris ENSCAFG00000031224
pteropus_vampyrus ENSPVAG00000002136
choloepus_hoffmanni ENSCHOG00000000076
echinops_telfairi ENSETEG00000017599
monodelphis_domestica ENSMODG00000010488
notamacropus_eugenii ENSMEUG00000016033
amphiprion_percula ENSAPEG00000017091
neolamprologus_brichardi ENSNBRG00000002483
mastacembelus_armatus ENSMAMG00000021036
