canis_lupus_familiaris ENSCAFG00000023647
canis_lupus_dingo ENSCAFG00020018332
vulpes_vulpes ENSVVUG00000018871
mustela_putorius_furo ENSMPUG00000010928
neovison_vison ENSNVIG00000011452
ursus_americanus ENSUAMG00000008150
ailuropoda_melanoleuca ENSAMEG00000005526
panthera_pardus ENSPPRG00000004847
panthera_tigris_altaica ENSPTIG00000003328
felis_catus ENSFCAG00000042651
felis_catus ENSFCAG00000045760
bos_taurus ENSBTAG00000004905
bos_mutus ENSBMUG00000019711
bison_bison_bison ENSBBBG00000001735
capra_hircus ENSCHIG00000024513
tursiops_truncatus ENSTTRG00000014640
equus_caballus ENSECAG00000014086
equus_caballus ENSECAG00000002223
equus_caballus ENSECAG00000005999
pteropus_vampyrus ENSPVAG00000010624
myotis_lucifugus ENSMLUG00000028217
myotis_lucifugus ENSMLUG00000015206
erinaceus_europaeus ENSEEUG00000001052
dasypus_novemcinctus ENSDNOG00000037692
ornithorhynchus_anatinus ENSOANG00000010813
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018003
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020911
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017161
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018290
rattus_norvegicus ENSRNOG00000014233
meriones_unguiculatus ENSMUGG00000020690
cricetulus_griseus_crigri_1.0 ENSCGRG00000009863
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015028
cricetulus_griseus_crigri-picr ENSCGRG00015003900
mesocricetus_auratus ENSMAUG00000001379
peromyscus_maniculatus_bairdii ENSPEMG00000006832
microtus_ochrogaster ENSMOCG00000015107
nannospalax_galili ENSNGAG00000011315
jaculus_jaculus ENSJJAG00000023491
dipodomys_ordii ENSDORG00000006970
urocitellus_parryii ENSUPAG00010008984
spermophilus_dauricus ENSSDAG00000007925
ictidomys_tridecemlineatus ENSSTOG00000014403
marmota_marmota_marmota ENSMMMG00000006685
oryctolagus_cuniculus ENSOCUG00000016132
ochotona_princeps ENSOPRG00000007908
loxodonta_africana ENSLAFG00000027762
procavia_capensis ENSPCAG00000001651
prolemur_simus ENSPSMG00000014194
propithecus_coquereli ENSPCOG00000021655
microcebus_murinus ENSMICG00000033033
otolemur_garnettii ENSOGAG00000024306
carlito_syrichta ENSTSYG00000005685
aotus_nancymaae ENSANAG00000035571
aotus_nancymaae ENSANAG00000016980
aotus_nancymaae ENSANAG00000034168
callithrix_jacchus ENSCJAG00000022017
callithrix_jacchus ENSCJAG00000005117
callithrix_jacchus ENSCJAG00000029756
cebus_capucinus_imitator ENSCCAG00000001711
cebus_capucinus_imitator ENSCCAG00000030249
saimiri_boliviensis_boliviensis ENSSBOG00000023294
cebus_capucinus_imitator ENSCCAG00000015918
rhinopithecus_roxellana ENSRROG00000040698
rhinopithecus_bieti ENSRBIG00000028660
colobus_angolensis_palliatus ENSCANG00000010616
macaca_nemestrina ENSMNEG00000035315
macaca_mulatta ENSMMUG00000022289
theropithecus_gelada ENSTGEG00000010552
mandrillus_leucophaeus ENSMLEG00000041284
papio_anubis ENSPANG00000010457
cercocebus_atys ENSCATG00000044513
nomascus_leucogenys ENSNLEG00000031051
pongo_abelii ENSPPYG00000008416
pongo_abelii ENSPPYG00000008940
nomascus_leucogenys ENSNLEG00000010787
macaca_mulatta ENSMMUG00000018653
macaca_nemestrina ENSMNEG00000033600
macaca_fascicularis ENSMFAG00000003391
theropithecus_gelada ENSTGEG00000008333
mandrillus_leucophaeus ENSMLEG00000028531
chlorocebus_sabaeus ENSCSAG00000002992
papio_anubis ENSPANG00000032314
macaca_mulatta ENSMMUG00000012359
papio_anubis ENSPANG00000033183
cercocebus_atys ENSCATG00000031681
rhinopithecus_roxellana ENSRROG00000037005
rhinopithecus_bieti ENSRBIG00000031457
rhinopithecus_bieti ENSRBIG00000032653
rhinopithecus_roxellana ENSRROG00000026669
piliocolobus_tephrosceles ENSPTEG00000030383
pan_troglodytes ENSPTRG00000009168
pan_paniscus ENSPPAG00000031096
gorilla_gorilla ENSGGOG00000016901
homo_sapiens ENSG00000171345
chelonoidis_abingdonii ENSCABG00000012523
chinchilla_lanigera ENSCLAG00000015425
octodon_degus ENSODEG00000017884
cavia_aperea ENSCAPG00000007164
cavia_porcellus ENSCPOG00000035147
fukomys_damarensis ENSFDAG00000016827
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018762
