cynoglossus_semilaevis ENSCSEG00000010513
hippocampus_comes ENSHCOG00000001773
xiphophorus_maculatus ENSXMAG00000010900
gambusia_affinis ENSGAFG00000020634
cyprinodon_variegatus ENSCVAG00000014552
fundulus_heteroclitus ENSFHEG00000023179
astatotilapia_calliptera ENSACLG00000017185
maylandia_zebra ENSMZEG00005001352
haplochromis_burtoni ENSHBUG00000013573
pundamilia_nyererei ENSPNYG00000012597
neolamprologus_brichardi ENSNBRG00000020866
oreochromis_niloticus ENSONIG00000009396
amphilophus_citrinellus ENSACIG00000019948
oryzias_latipes_asm223471v1 ENSORLG00020020804
oryzias_latipes_asm223467v1 ENSORLG00000000204
oryzias_latipes_asm223469v1 ENSORLG00015011613
oryzias_melastigma ENSOMEG00000007080
poecilia_latipinna ENSPLAG00000015283
poecilia_mexicana ENSPMEG00000000613
poecilia_reticulata ENSPREG00000011340
stegastes_partitus ENSSPAG00000002690
mastacembelus_armatus ENSMAMG00000018715
anabas_testudineus ENSATEG00000017834
labrus_bergylta ENSLBEG00000006160
gasterosteus_aculeatus ENSGACG00000014837
takifugu_rubripes ENSTRUG00000004328
tetraodon_nigroviridis ENSTNIG00000003221
mola_mola ENSMMOG00000017262
monopterus_albus ENSMALG00000000455
amphiprion_percula ENSAPEG00000005884
amphiprion_ocellaris ENSAOCG00000009590
acanthochromis_polyacanthus ENSAPOG00000009993
seriola_lalandi_dorsalis ENSSLDG00000005829
seriola_dumerili ENSSDUG00000004054
scophthalmus_maximus ENSSMAG00000016150
periophthalmus_magnuspinnatus ENSPMGG00000006606
gadus_morhua ENSGMOG00000001747
esox_lucius ENSELUG00000024221
pygocentrus_nattereri ENSPNAG00000018687
astyanax_mexicanus ENSAMXG00000003011
ictalurus_punctatus ENSIPUG00000001284
danio_rerio ENSDARG00000006566
paramormyrops_kingsleyae ENSPKIG00000018252
scleropages_formosus ENSSFOG00015001490
poecilia_formosa ENSPFOG00000016238
pogona_vitticeps ENSPVIG00000009169
anolis_carolinensis ENSACAG00000010300
notechis_scutatus ENSNSUG00000019256
salvator_merianae ENSSMRG00000000885
chrysemys_picta_bellii ENSCPBG00000012700
gopherus_agassizii ENSGAGG00000003085
xenopus_tropicalis ENSXETG00000011349
latimeria_chalumnae ENSLACG00000006362
