macaca_nemestrina ENSMNEG00000036268
piliocolobus_tephrosceles ENSPTEG00000034283
nomascus_leucogenys ENSNLEG00000027413
cebus_capucinus_imitator ENSCCAG00000033836
carlito_syrichta ENSTSYG00000030490
otolemur_garnettii ENSOGAG00000029271
sus_scrofa ENSSSCG00000031184
bison_bison_bison ENSBBBG00000001745
myotis_lucifugus ENSMLUG00000005470
panthera_tigris_altaica ENSPTIG00000005424
panthera_pardus ENSPPRG00000020396
ailuropoda_melanoleuca ENSAMEG00000013716
dasypus_novemcinctus ENSDNOG00000037479
loxodonta_africana ENSLAFG00000028976
ornithorhynchus_anatinus ENSOANG00000030962
pelodiscus_sinensis ENSPSIG00000005715
chelonoidis_abingdonii ENSCABG00000010983
cyanistes_caeruleus ENSCCEG00000002464
lonchura_striata_domestica ENSLSDG00000013962
anas_platyrhynchos_platyrhynchos ENSAPLG00000022531
apteryx_rowi ENSARWG00000000411
astyanax_mexicanus ENSAMXG00000033775
