oryzias_melastigma ENSOMEG00000010147
pygocentrus_nattereri ENSPNAG00000012277
monopterus_albus ENSMALG00000013161
esox_lucius ENSELUG00000003029
esox_lucius ENSELUG00000017674
oryzias_latipes_asm223469v1 ENSORLG00015012391
oryzias_latipes_asm223467v1 ENSORLG00000022368
oryzias_latipes_asm223471v1 ENSORLG00020022178
oryzias_latipes_asm223469v1 ENSORLG00015011190
oryzias_latipes_asm223469v1 ENSORLG00015015247
oryzias_latipes_asm223469v1 ENSORLG00015009850
oryzias_latipes_asm223469v1 ENSORLG00015017942
oryzias_latipes_asm223469v1 ENSORLG00015014724
oryzias_latipes_asm223469v1 ENSORLG00015009222
oryzias_latipes_asm223471v1 ENSORLG00020010278
oryzias_latipes_asm223467v1 ENSORLG00000029326
scophthalmus_maximus ENSSMAG00000015476
scophthalmus_maximus ENSSMAG00000001360
paramormyrops_kingsleyae ENSPKIG00000014384
esox_lucius ENSELUG00000017467
lepisosteus_oculatus ENSLOCG00000018086
amphilophus_citrinellus ENSACIG00000000441
poecilia_formosa ENSPFOG00000024494
amphiprion_percula ENSAPEG00000011211
esox_lucius ENSELUG00000019894
esox_lucius ENSELUG00000018393
poecilia_mexicana ENSPMEG00000023573
poecilia_formosa ENSPFOG00000002204
poecilia_mexicana ENSPMEG00000002229
poecilia_formosa ENSPFOG00000004306
oryzias_latipes_asm223469v1 ENSORLG00015022790
mastacembelus_armatus ENSMAMG00000019494
ictalurus_punctatus ENSIPUG00000005860
eptatretus_burgeri ENSEBUG00000010675
astyanax_mexicanus ENSAMXG00000029129
astyanax_mexicanus ENSAMXG00000036785
astyanax_mexicanus ENSAMXG00000025065
monopterus_albus ENSMALG00000011123
monopterus_albus ENSMALG00000020927
monopterus_albus ENSMALG00000004713
monopterus_albus ENSMALG00000001486
monopterus_albus ENSMALG00000017190
monopterus_albus ENSMALG00000005925
monopterus_albus ENSMALG00000000286
mola_mola ENSMMOG00000016228
monopterus_albus ENSMALG00000006046
monopterus_albus ENSMALG00000003889
monopterus_albus ENSMALG00000003475
monopterus_albus ENSMALG00000002489
mastacembelus_armatus ENSMAMG00000010908
mastacembelus_armatus ENSMAMG00000011276
mola_mola ENSMMOG00000021230
mastacembelus_armatus ENSMAMG00000022275
mastacembelus_armatus ENSMAMG00000012788
monopterus_albus ENSMALG00000009497
monopterus_albus ENSMALG00000012688
monopterus_albus ENSMALG00000001115
monopterus_albus ENSMALG00000004556
monopterus_albus ENSMALG00000003025
monopterus_albus ENSMALG00000017131
mastacembelus_armatus ENSMAMG00000003961
monopterus_albus ENSMALG00000019302
monopterus_albus ENSMALG00000020659
mastacembelus_armatus ENSMAMG00000007519
monopterus_albus ENSMALG00000005642
mastacembelus_armatus ENSMAMG00000010000
monopterus_albus ENSMALG00000009062
monopterus_albus ENSMALG00000016987
mastacembelus_armatus ENSMAMG00000020759
mola_mola ENSMMOG00000012528
mola_mola ENSMMOG00000018493
mola_mola ENSMMOG00000007309
mola_mola ENSMMOG00000012833
mola_mola ENSMMOG00000004575
mola_mola ENSMMOG00000004579
mola_mola ENSMMOG00000000074
mola_mola ENSMMOG00000014296
mola_mola ENSMMOG00000008926
mola_mola ENSMMOG00000012592
mola_mola ENSMMOG00000000107
mola_mola ENSMMOG00000009589
mola_mola ENSMMOG00000014364
mola_mola ENSMMOG00000001055
mola_mola ENSMMOG00000020333
mola_mola ENSMMOG00000004959
mola_mola ENSMMOG00000016555
mola_mola ENSMMOG00000002577
mola_mola ENSMMOG00000002580
mola_mola ENSMMOG00000000916
mola_mola ENSMMOG00000000033
mola_mola ENSMMOG00000001222
mola_mola ENSMMOG00000008634
mola_mola ENSMMOG00000004506
mola_mola ENSMMOG00000021592
mola_mola ENSMMOG00000010763
mola_mola ENSMMOG00000014482
mola_mola ENSMMOG00000001861
mola_mola ENSMMOG00000010098
mola_mola ENSMMOG00000019749
mola_mola ENSMMOG00000010301
mola_mola ENSMMOG00000001801
mola_mola ENSMMOG00000013889
mola_mola ENSMMOG00000017410
mola_mola ENSMMOG00000009104
hippocampus_comes ENSHCOG00000002144
periophthalmus_magnuspinnatus ENSPMGG00000001669
amphiprion_ocellaris ENSAOCG00000003544
amphiprion_ocellaris ENSAOCG00000019064
amphiprion_percula ENSAPEG00000018838
amphilophus_citrinellus ENSACIG00000010137
amphilophus_citrinellus ENSACIG00000022097
maylandia_zebra ENSMZEG00005001252
haplochromis_burtoni ENSHBUG00000019257
neolamprologus_brichardi ENSNBRG00000005940
amphilophus_citrinellus ENSACIG00000014880
mastacembelus_armatus ENSMAMG00000016656
mola_mola ENSMMOG00000019176
astyanax_mexicanus ENSAMXG00000041067
pygocentrus_nattereri ENSPNAG00000006877
cyprinodon_variegatus ENSCVAG00000013756
fundulus_heteroclitus ENSFHEG00000003569
xiphophorus_maculatus ENSXMAG00000025438
