mustela_putorius_furo ENSMPUG00000003201
neovison_vison ENSNVIG00000021700
ursus_americanus ENSUAMG00000011886
felis_catus ENSFCAG00000003742
panthera_pardus ENSPPRG00000013195
bos_taurus ENSBTAG00000030927
sus_scrofa ENSSSCG00000038652
equus_asinus_asinus ENSEASG00005022302
pteropus_vampyrus ENSPVAG00000000112
castor_canadensis ENSCCNG00000026013
dipodomys_ordii ENSDORG00000026372
mus_spicilegus ENSMSIG00000018135
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055692
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021406
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020511
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016216
rattus_norvegicus ENSRNOG00000001864
meriones_unguiculatus ENSMUGG00000009222
cricetulus_griseus_crigri-picr ENSCGRG00015009280
cricetulus_griseus_crigri_1.0 ENSCGRG00000007075
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023353
mesocricetus_auratus ENSMAUG00000012962
microtus_ochrogaster ENSMOCG00000013117
peromyscus_maniculatus_bairdii ENSPEMG00000008822
nannospalax_galili ENSNGAG00000004319
jaculus_jaculus ENSJJAG00000010181
urocitellus_parryii ENSUPAG00010013410
ictidomys_tridecemlineatus ENSSTOG00000006371
spermophilus_dauricus ENSSDAG00000007557
marmota_marmota_marmota ENSMMMG00000000952
oryctolagus_cuniculus ENSOCUG00000013089
propithecus_coquereli ENSPCOG00000000621
microcebus_murinus ENSMICG00000044917
prolemur_simus ENSPSMG00000014373
otolemur_garnettii ENSOGAG00000032223
piliocolobus_tephrosceles ENSPTEG00000034753
colobus_angolensis_palliatus ENSCANG00000037682
chlorocebus_sabaeus ENSCSAG00000013333
pongo_abelii ENSPPYG00000012024
aotus_nancymaae ENSANAG00000022376
papio_anubis ENSPANG00000026013
theropithecus_gelada ENSTGEG00000006346
cercocebus_atys ENSCATG00000034120
macaca_mulatta ENSMMUG00000018823
macaca_fascicularis ENSMFAG00000044383
macaca_nemestrina ENSMNEG00000035099
rhinopithecus_roxellana ENSRROG00000021636
rhinopithecus_bieti ENSRBIG00000039650
homo_sapiens ENSG00000278558
homo_sapiens ENSG00000206140
pan_troglodytes ENSPTRG00000045115
gorilla_gorilla ENSGGOG00000015914
cebus_capucinus_imitator ENSCCAG00000033491
callithrix_jacchus ENSCJAG00000015839
loxodonta_africana ENSLAFG00000004112
phascolarctos_cinereus ENSPCIG00000018209
