propithecus_coquereli ENSPCOG00000017743
microcebus_murinus ENSMICG00000017357
pan_paniscus ENSPPAG00000027803
pan_troglodytes ENSPTRG00000017967
homo_sapiens ENSG00000204482
gorilla_gorilla ENSGGOG00000024445
pongo_abelii ENSPPYG00000016440
nomascus_leucogenys ENSNLEG00000006131
rhinopithecus_roxellana ENSRROG00000035597
rhinopithecus_bieti ENSRBIG00000044427
piliocolobus_tephrosceles ENSPTEG00000036274
colobus_angolensis_palliatus ENSCANG00000037775
macaca_fascicularis ENSMFAG00000040777
macaca_mulatta ENSMMUG00000008853
macaca_nemestrina ENSMNEG00000033551
papio_anubis ENSPANG00000016179
cercocebus_atys ENSCATG00000033280
mandrillus_leucophaeus ENSMLEG00000034948
saimiri_boliviensis_boliviensis ENSSBOG00000022157
callithrix_jacchus ENSCJAG00000034315
cebus_capucinus_imitator ENSCCAG00000025506
peromyscus_maniculatus_bairdii ENSPEMG00000015715
mesocricetus_auratus ENSMAUG00000000505
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022417
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000073412
mus_spicilegus ENSMSIG00000004498
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021512
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020507
rattus_norvegicus ENSRNOG00000000855
meriones_unguiculatus ENSMUGG00000005103
octodon_degus ENSODEG00000017867
ictidomys_tridecemlineatus ENSSTOG00000032795
castor_canadensis ENSCCNG00000003434
mustela_putorius_furo ENSMPUG00000011366
ursus_americanus ENSUAMG00000012548
canis_lupus_familiaris ENSCAFG00000023691
bos_mutus ENSBMUG00000013739
bos_taurus ENSBTAG00000053179
bison_bison_bison ENSBBBG00000008565
ovis_aries ENSOARG00000008167
sus_scrofa ENSSSCG00000030882
equus_caballus ENSECAG00000010783
dasypus_novemcinctus ENSDNOG00000019896
