rhinopithecus_roxellana ENSRROG00000004704
rhinopithecus_bieti ENSRBIG00000034174
colobus_angolensis_palliatus ENSCANG00000037224
piliocolobus_tephrosceles ENSPTEG00000021892
piliocolobus_tephrosceles ENSPTEG00000022238
piliocolobus_tephrosceles ENSPTEG00000022205
piliocolobus_tephrosceles ENSPTEG00000021926
mandrillus_leucophaeus ENSMLEG00000039308
cercocebus_atys ENSCATG00000029262
theropithecus_gelada ENSTGEG00000009774
papio_anubis ENSPANG00000032956
macaca_mulatta ENSMMUG00000014403
pan_troglodytes ENSPTRG00000043184
pan_paniscus ENSPPAG00000032128
gorilla_gorilla ENSGGOG00000004571
homo_sapiens ENSG00000160339
pongo_abelii ENSPPYG00000019897
nomascus_leucogenys ENSNLEG00000008740
macaca_nemestrina ENSMNEG00000038969
chlorocebus_sabaeus ENSCSAG00000015610
piliocolobus_tephrosceles ENSPTEG00000029408
cebus_capucinus_imitator ENSCCAG00000025129
callithrix_jacchus ENSCJAG00000010186
saimiri_boliviensis_boliviensis ENSSBOG00000017684
callithrix_jacchus ENSCJAG00000046743
aotus_nancymaae ENSANAG00000029383
carlito_syrichta ENSTSYG00000031012
propithecus_coquereli ENSPCOG00000026673
oryctolagus_cuniculus ENSOCUG00000023934
sus_scrofa ENSSSCG00000023333
