mus_musculus_strain_reference_cl57bl6 ENSMUSG00000059371
mus_spicilegus ENSMSIG00000012213
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015730
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028163
meriones_unguiculatus ENSMUGG00000015925
cricetulus_griseus_crigri-picr ENSCGRG00015015403
cricetulus_griseus_crigri_1.0 ENSCGRG00000019845
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011444
peromyscus_maniculatus_bairdii ENSPEMG00000025902
nannospalax_galili ENSNGAG00000000691
castor_canadensis ENSCCNG00000008336
castor_canadensis ENSCCNG00000008322
chinchilla_lanigera ENSCLAG00000017875
cavia_porcellus ENSCPOG00000021677
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021087
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020271
fukomys_damarensis ENSFDAG00000019215
urocitellus_parryii ENSUPAG00010010891
oryctolagus_cuniculus ENSOCUG00000026738
prolemur_simus ENSPSMG00000014089
otolemur_garnettii ENSOGAG00000029998
ursus_maritimus ENSUMAG00000001898
ursus_americanus ENSUAMG00000026635
ailuropoda_melanoleuca ENSAMEG00000018598
neovison_vison ENSNVIG00000021925
canis_lupus_familiaris ENSCAFG00000011679
vulpes_vulpes ENSVVUG00000016420
equus_asinus_asinus ENSEASG00005003357
equus_caballus ENSECAG00000003326
bison_bison_bison ENSBBBG00000021511
bos_taurus ENSBTAG00000038961
bos_mutus ENSBMUG00000024999
capra_hircus ENSCHIG00000011316
sus_scrofa ENSSSCG00000006426
dasypus_novemcinctus ENSDNOG00000039136
loxodonta_africana ENSLAFG00000011251
