vulpes_vulpes ENSVVUG00000001459
amphiprion_percula ENSAPEG00000019878
kryptolebias_marmoratus ENSKMAG00000016148
poecilia_latipinna ENSPLAG00000021695
oryzias_latipes_asm223467v1 ENSORLG00000005829
maylandia_zebra ENSMZEG00005013366
tetraodon_nigroviridis ENSTNIG00000019632
paramormyrops_kingsleyae ENSPKIG00000022855
lepisosteus_oculatus ENSLOCG00000010030
oryzias_latipes_asm223467v1 ENSORLG00000013375
oryzias_latipes_asm223471v1 ENSORLG00020021887
scophthalmus_maximus ENSSMAG00000020515
scleropages_formosus ENSSFOG00015013091
anser_brachyrhynchus ENSABRG00000020481
anas_platyrhynchos_platyrhynchos ENSAPLG00000019195
calidris_pugnax ENSCPUG00000018378
chrysemys_picta_bellii ENSCPBG00000018978
ictidomys_tridecemlineatus ENSSTOG00000032249
mesocricetus_auratus ENSMAUG00000017808
pygocentrus_nattereri ENSPNAG00000001395
astyanax_mexicanus ENSAMXG00000009334
mastacembelus_armatus ENSMAMG00000021796
anabas_testudineus ENSATEG00000020465
xiphophorus_maculatus ENSXMAG00000028424
vicugna_pacos ENSVPAG00000007053
xiphophorus_maculatus ENSXMAG00000011334
eptatretus_burgeri ENSEBUG00000012694
ciona_intestinalis ENSCING00000009609
