acanthochromis_polyacanthus ENSAPOG00000013498
periophthalmus_magnuspinnatus ENSPMGG00000014666
oryzias_melastigma ENSOMEG00000022118
oryzias_latipes_asm223471v1 ENSORLG00020006085
oryzias_melastigma ENSOMEG00000022197
kryptolebias_marmoratus ENSKMAG00000005509
astatotilapia_calliptera ENSACLG00000001614
amphiprion_percula ENSAPEG00000010923
oryzias_latipes_asm223471v1 ENSORLG00020016209
mola_mola ENSMMOG00000011640
scophthalmus_maximus ENSSMAG00000019363
mastacembelus_armatus ENSMAMG00000010659
labrus_bergylta ENSLBEG00000024436
labrus_bergylta ENSLBEG00000013170
stegastes_partitus ENSSPAG00000023170
hippocampus_comes ENSHCOG00000001060
maylandia_zebra ENSMZEG00005025533
astatotilapia_calliptera ENSACLG00000001620
pundamilia_nyererei ENSPNYG00000007648
amphiprion_percula ENSAPEG00000010959
scophthalmus_maximus ENSSMAG00000001771
mola_mola ENSMMOG00000001621
danio_rerio ENSDARG00000092469
danio_rerio ENSDARG00000092552
scleropages_formosus ENSSFOG00015004350
