heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016843
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011399
fukomys_damarensis ENSFDAG00000010987
cavia_porcellus ENSCPOG00000037805
cavia_aperea ENSCAPG00000014594
chinchilla_lanigera ENSCLAG00000014896
octodon_degus ENSODEG00000017843
notamacropus_eugenii ENSMEUG00000016615
phascolarctos_cinereus ENSPCIG00000020241
phascolarctos_cinereus ENSPCIG00000037230
monodelphis_domestica ENSMODG00000014766
sarcophilus_harrisii ENSSHAG00000007355
apteryx_haastii ENSAHAG00000010941
sphenodon_punctatus ENSSPUG00000013148
oryctolagus_cuniculus ENSOCUG00000013267
ochotona_princeps ENSOPRG00000008113
carlito_syrichta ENSTSYG00000010573
sorex_araneus ENSSARG00000003523
pan_troglodytes ENSPTRG00000009189
pan_paniscus ENSPPAG00000017742
homo_sapiens ENSG00000168256
gorilla_gorilla ENSGGOG00000001000
pongo_abelii ENSPPYG00000008401
nomascus_leucogenys ENSNLEG00000011319
macaca_nemestrina ENSMNEG00000038475
macaca_mulatta ENSMMUG00000014275
macaca_fascicularis ENSMFAG00000031841
papio_anubis ENSPANG00000029487
mandrillus_leucophaeus ENSMLEG00000009134
cercocebus_atys ENSCATG00000044320
theropithecus_gelada ENSTGEG00000009247
chlorocebus_sabaeus ENSCSAG00000003069
rhinopithecus_roxellana ENSRROG00000030515
rhinopithecus_bieti ENSRBIG00000041177
piliocolobus_tephrosceles ENSPTEG00000015097
cebus_capucinus_imitator ENSCCAG00000016990
callithrix_jacchus ENSCJAG00000039173
saimiri_boliviensis_boliviensis ENSSBOG00000031808
aotus_nancymaae ENSANAG00000028895
propithecus_coquereli ENSPCOG00000016888
prolemur_simus ENSPSMG00000012696
microcebus_murinus ENSMICG00000044707
cricetulus_griseus_crigri_1.0 ENSCGRG00000008022
cricetulus_griseus_crigri-picr ENSCGRG00015002293
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021109
mesocricetus_auratus ENSMAUG00000015264
microtus_ochrogaster ENSMOCG00000007595
peromyscus_maniculatus_bairdii ENSPEMG00000030424
mus_spicilegus ENSMSIG00000004500
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017179
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017837
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018022
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018309
rattus_norvegicus ENSRNOG00000018095
meriones_unguiculatus ENSMUGG00000023560
nannospalax_galili ENSNGAG00000018489
jaculus_jaculus ENSJJAG00000009448
ovis_aries ENSOARG00000018262
capra_hircus ENSCHIG00000027127
bos_mutus ENSBMUG00000016764
bos_taurus ENSBTAG00000002657
bison_bison_bison ENSBBBG00000010459
tursiops_truncatus ENSTTRG00000006623
sus_scrofa ENSSSCG00000017418
vicugna_pacos ENSVPAG00000011940
ursus_americanus ENSUAMG00000024602
ursus_maritimus ENSUMAG00000022990
ailuropoda_melanoleuca ENSAMEG00000005922
mustela_putorius_furo ENSMPUG00000010580
neovison_vison ENSNVIG00000012006
canis_lupus_familiaris ENSCAFG00000032563
canis_lupus_dingo ENSCAFG00020013970
vulpes_vulpes ENSVVUG00000020909
panthera_pardus ENSPPRG00000003498
panthera_tigris_altaica ENSPTIG00000007686
felis_catus ENSFCAG00000033806
equus_asinus_asinus ENSEASG00005009094
equus_caballus ENSECAG00000017893
myotis_lucifugus ENSMLUG00000012618
myotis_lucifugus ENSMLUG00000011979
pteropus_vampyrus ENSPVAG00000003851
otolemur_garnettii ENSOGAG00000017195
tupaia_belangeri ENSTBEG00000005148
erinaceus_europaeus ENSEEUG00000002637
dasypus_novemcinctus ENSDNOG00000042963
castor_canadensis ENSCCNG00000025262
dipodomys_ordii ENSDORG00000024004
marmota_marmota_marmota ENSMMMG00000006193
marmota_marmota_marmota ENSMMMG00000008664
spermophilus_dauricus ENSSDAG00000008794
urocitellus_parryii ENSUPAG00010009426
ictidomys_tridecemlineatus ENSSTOG00000006159
ictidomys_tridecemlineatus ENSSTOG00000033567
procavia_capensis ENSPCAG00000015824
echinops_telfairi ENSETEG00000018955
loxodonta_africana ENSLAFG00000027238
choloepus_hoffmanni ENSCHOG00000000783
ornithorhynchus_anatinus ENSOANG00000004704
taeniopygia_guttata ENSTGUG00000018383
lonchura_striata_domestica ENSLSDG00000007206
parus_major ENSPMJG00000001076
ficedula_albicollis ENSFALG00000000645
junco_hyemalis ENSJHYG00000012154
manacus_vitellinus ENSMVIG00005006826
lepidothrix_coronata ENSLCOG00000012098
nothoprocta_perdicaria ENSNPEG00000002631
gallus_gallus ENSGALG00000028971
numida_meleagris ENSNMEG00000007226
coturnix_japonica ENSCJPG00005004839
anas_platyrhynchos_platyrhynchos ENSAPLG00000002856
anser_brachyrhynchus ENSABRG00000009507
calidris_pygmaea ENSCPGG00000004663
apteryx_owenii ENSAOWG00000008541
apteryx_rowi ENSARWG00000014646
meleagris_gallopavo ENSMGAG00000003260
zonotrichia_albicollis ENSZALG00000005140
calidris_pugnax ENSCPUG00000014601
melopsittacus_undulatus ENSMUNG00000016464
cyanistes_caeruleus ENSCCEG00000021664
serinus_canaria ENSSCAG00000007197
dromaius_novaehollandiae ENSDNVG00000000282
hippocampus_comes ENSHCOG00000004918
gopherus_agassizii ENSGAGG00000023259
chelonoidis_abingdonii ENSCABG00000014683
chrysemys_picta_bellii ENSCPBG00000006772
pelodiscus_sinensis ENSPSIG00000007633
crocodylus_porosus ENSCPRG00005005343
pogona_vitticeps ENSPVIG00000020624
anolis_carolinensis ENSACAG00000016936
notechis_scutatus ENSNSUG00000010315
salvator_merianae ENSSMRG00000007252
xenopus_tropicalis ENSXETG00000002296
paramormyrops_kingsleyae ENSPKIG00000001394
scleropages_formosus ENSSFOG00015010117
poecilia_mexicana ENSPMEG00000011432
poecilia_formosa ENSPFOG00000011675
poecilia_reticulata ENSPREG00000003709
poecilia_latipinna ENSPLAG00000021690
xiphophorus_maculatus ENSXMAG00000008879
xiphophorus_couchianus ENSXCOG00000017191
gambusia_affinis ENSGAFG00000001031
cyprinodon_variegatus ENSCVAG00000009472
fundulus_heteroclitus ENSFHEG00000012236
kryptolebias_marmoratus ENSKMAG00000020140
oryzias_latipes_asm223467v1 ENSORLG00000003799
oryzias_latipes_asm223469v1 ENSORLG00015001568
oryzias_latipes_asm223471v1 ENSORLG00020008574
oryzias_melastigma ENSOMEG00000022962
amphiprion_percula ENSAPEG00000004733
amphiprion_ocellaris ENSAOCG00000012201
acanthochromis_polyacanthus ENSAPOG00000020713
stegastes_partitus ENSSPAG00000006556
scophthalmus_maximus ENSSMAG00000007502
cynoglossus_semilaevis ENSCSEG00000016373
mastacembelus_armatus ENSMAMG00000022310
monopterus_albus ENSMALG00000006674
anabas_testudineus ENSATEG00000001802
seriola_lalandi_dorsalis ENSSLDG00000017573
seriola_dumerili ENSSDUG00000022956
maylandia_zebra ENSMZEG00005022747
haplochromis_burtoni ENSHBUG00000001922
astatotilapia_calliptera ENSACLG00000002549
pundamilia_nyererei ENSPNYG00000011158
neolamprologus_brichardi ENSNBRG00000018863
oreochromis_niloticus ENSONIG00000001081
amphilophus_citrinellus ENSACIG00000010530
takifugu_rubripes ENSTRUG00000023291
tetraodon_nigroviridis ENSTNIG00000011341
mola_mola ENSMMOG00000020716
gasterosteus_aculeatus ENSGACG00000008761
labrus_bergylta ENSLBEG00000004323
periophthalmus_magnuspinnatus ENSPMGG00000009703
gadus_morhua ENSGMOG00000000055
esox_lucius ENSELUG00000018362
astyanax_mexicanus ENSAMXG00000032340
pygocentrus_nattereri ENSPNAG00000005533
ictalurus_punctatus ENSIPUG00000017444
danio_rerio ENSDARG00000052594
lepisosteus_oculatus ENSLOCG00000012608
petromyzon_marinus ENSPMAG00000002116
eptatretus_burgeri ENSEBUG00000014268
petromyzon_marinus ENSPMAG00000006245
