prolemur_simus ENSPSMG00000005343
microcebus_murinus ENSMICG00000047958
otolemur_garnettii ENSOGAG00000025142
cercocebus_atys ENSCATG00000018573
theropithecus_gelada ENSTGEG00000027614
pan_troglodytes ENSPTRG00000043919
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000068259
mus_spicilegus ENSMSIG00000002837
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028261
nannospalax_galili ENSNGAG00000017910
urocitellus_parryii ENSUPAG00010016064
marmota_marmota_marmota ENSMMMG00000011173
spermophilus_dauricus ENSSDAG00000024567
spermophilus_dauricus ENSSDAG00000024569
ursus_maritimus ENSUMAG00000014949
ursus_americanus ENSUAMG00000016061
ailuropoda_melanoleuca ENSAMEG00000019788
ailuropoda_melanoleuca ENSAMEG00000019791
canis_lupus_dingo ENSCAFG00020021109
mustela_putorius_furo ENSMPUG00000018734
neovison_vison ENSNVIG00000021000
panthera_tigris_altaica ENSPTIG00000008631
felis_catus ENSFCAG00000042976
myotis_lucifugus ENSMLUG00000027938
capra_hircus ENSCHIG00000008736
bos_taurus ENSBTAG00000048496
bos_mutus ENSBMUG00000013278
bison_bison_bison ENSBBBG00000001280
bos_taurus ENSBTAG00000049592
bison_bison_bison ENSBBBG00000001284
bos_taurus ENSBTAG00000049043
capra_hircus ENSCHIG00000007632
sus_scrofa ENSSSCG00000026854
equus_asinus_asinus ENSEASG00005009862
equus_caballus ENSECAG00000003677
dasypus_novemcinctus ENSDNOG00000038539
