xenopus_tropicalis ENSXETG00000033070
latimeria_chalumnae ENSLACG00000015405
anolis_carolinensis ENSACAG00000014844
ornithorhynchus_anatinus ENSOANG00000032112
notechis_scutatus ENSNSUG00000012221
pogona_vitticeps ENSPVIG00000020681
salvator_merianae ENSSMRG00000003912
bos_taurus ENSBTAG00000011291
bison_bison_bison ENSBBBG00000017892
bos_mutus ENSBMUG00000000330
ovis_aries ENSOARG00000015731
capra_hircus ENSCHIG00000017006
tursiops_truncatus ENSTTRG00000007884
sus_scrofa ENSSSCG00000012375
equus_caballus ENSECAG00000017508
equus_asinus_asinus ENSEASG00005003088
vicugna_pacos ENSVPAG00000008731
ursus_maritimus ENSUMAG00000000284
marmota_marmota_marmota ENSMMMG00000022037
piliocolobus_tephrosceles ENSPTEG00000012183
canis_lupus_dingo ENSCAFG00020014532
dasypus_novemcinctus ENSDNOG00000038503
myotis_lucifugus ENSMLUG00000011155
pteropus_vampyrus ENSPVAG00000012942
ailuropoda_melanoleuca ENSAMEG00000009332
ursus_americanus ENSUAMG00000019394
neovison_vison ENSNVIG00000008521
mustela_putorius_furo ENSMPUG00000004569
canis_lupus_familiaris ENSCAFG00000016874
canis_lupus_dingo ENSCAFG00020019210
vulpes_vulpes ENSVVUG00000007027
canis_lupus_familiaris ENSCAFG00000031309
panthera_tigris_altaica ENSPTIG00000015349
panthera_pardus ENSPPRG00000004403
felis_catus ENSFCAG00000008636
erinaceus_europaeus ENSEEUG00000015608
sorex_araneus ENSSARG00000005405
prolemur_simus ENSPSMG00000001509
microcebus_murinus ENSMICG00000012615
propithecus_coquereli ENSPCOG00000019220
otolemur_garnettii ENSOGAG00000011824
rhinopithecus_roxellana ENSRROG00000045573
theropithecus_gelada ENSTGEG00000007283
homo_sapiens ENSG00000082458
pan_paniscus ENSPPAG00000039640
pongo_abelii ENSPPYG00000020440
papio_anubis ENSPANG00000010097
macaca_mulatta ENSMMUG00000013948
chlorocebus_sabaeus ENSCSAG00000011603
macaca_nemestrina ENSMNEG00000030338
macaca_fascicularis ENSMFAG00000036638
cercocebus_atys ENSCATG00000030345
mandrillus_leucophaeus ENSMLEG00000032937
rhinopithecus_bieti ENSRBIG00000041797
gorilla_gorilla ENSGGOG00000004925
pan_troglodytes ENSPTRG00000021999
colobus_angolensis_palliatus ENSCANG00000032377
saimiri_boliviensis_boliviensis ENSSBOG00000024162
callithrix_jacchus ENSCJAG00000015453
aotus_nancymaae ENSANAG00000037194
nomascus_leucogenys ENSNLEG00000000960
cebus_capucinus_imitator ENSCCAG00000020619
chinchilla_lanigera ENSCLAG00000015561
octodon_degus ENSODEG00000000859
cavia_porcellus ENSCPOG00000000746
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002094
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009102
fukomys_damarensis ENSFDAG00000007580
urocitellus_parryii ENSUPAG00010014145
spermophilus_dauricus ENSSDAG00000009731
ictidomys_tridecemlineatus ENSSTOG00000009640
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000000881
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034440
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033276
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031814
rattus_norvegicus ENSRNOG00000002767
meriones_unguiculatus ENSMUGG00000007024
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022737
cricetulus_griseus_crigri-picr ENSCGRG00015011860
cricetulus_griseus_crigri_1.0 ENSCGRG00000005505
mesocricetus_auratus ENSMAUG00000000856
peromyscus_maniculatus_bairdii ENSPEMG00000007724
microtus_ochrogaster ENSMOCG00000015839
nannospalax_galili ENSNGAG00000018565
jaculus_jaculus ENSJJAG00000014971
castor_canadensis ENSCCNG00000010810
dipodomys_ordii ENSDORG00000014090
loxodonta_africana ENSLAFG00000000254
procavia_capensis ENSPCAG00000014653
echinops_telfairi ENSETEG00000001175
oryctolagus_cuniculus ENSOCUG00000017149
ochotona_princeps ENSOPRG00000012932
mus_spicilegus ENSMSIG00000019961
carlito_syrichta ENSTSYG00000009262
phascolarctos_cinereus ENSPCIG00000029000
notamacropus_eugenii ENSMEUG00000012113
sarcophilus_harrisii ENSSHAG00000000523
monodelphis_domestica ENSMODG00000004962
sphenodon_punctatus ENSSPUG00000000800
crocodylus_porosus ENSCPRG00005003811
chrysemys_picta_bellii ENSCPBG00000016726
gopherus_agassizii ENSGAGG00000020257
chelonoidis_abingdonii ENSCABG00000021329
pelodiscus_sinensis ENSPSIG00000011382
parus_major ENSPMJG00000011462
cyanistes_caeruleus ENSCCEG00000020042
ficedula_albicollis ENSFALG00000011970
taeniopygia_guttata ENSTGUG00000007374
lonchura_striata_domestica ENSLSDG00000008823
zonotrichia_albicollis ENSZALG00000001341
junco_hyemalis ENSJHYG00000012433
serinus_canaria ENSSCAG00000016837
lepidothrix_coronata ENSLCOG00000013878
manacus_vitellinus ENSMVIG00005004946
calidris_pygmaea ENSCPGG00000001412
calidris_pugnax ENSCPUG00000013662
anser_brachyrhynchus ENSABRG00000019138
anas_platyrhynchos_platyrhynchos ENSAPLG00000017095
numida_meleagris ENSNMEG00000012722
meleagris_gallopavo ENSMGAG00000002336
gallus_gallus ENSGALG00000041900
coturnix_japonica ENSCJPG00005013337
apteryx_rowi ENSARWG00000012306
apteryx_owenii ENSAOWG00000016421
dromaius_novaehollandiae ENSDNVG00000017371
nothoprocta_perdicaria ENSNPEG00000001207
melopsittacus_undulatus ENSMUNG00000011825
apteryx_rowi ENSARWG00000012305
apteryx_haastii ENSAHAG00000017580
calidris_pugnax ENSCPUG00000013661
anas_platyrhynchos_platyrhynchos ENSAPLG00000030194
scleropages_formosus ENSSFOG00015011147
paramormyrops_kingsleyae ENSPKIG00000018757
pygocentrus_nattereri ENSPNAG00000018566
ictalurus_punctatus ENSIPUG00000019495
danio_rerio ENSDARG00000076796
oryzias_latipes_asm223467v1 ENSORLG00000001913
oryzias_latipes_asm223471v1 ENSORLG00020020516
oryzias_latipes_asm223469v1 ENSORLG00015010004
oryzias_melastigma ENSOMEG00000017244
monopterus_albus ENSMALG00000010688
mastacembelus_armatus ENSMAMG00000020917
seriola_dumerili ENSSDUG00000018705
seriola_lalandi_dorsalis ENSSLDG00000022378
scophthalmus_maximus ENSSMAG00000015950
amphiprion_ocellaris ENSAOCG00000022236
amphiprion_percula ENSAPEG00000008150
stegastes_partitus ENSSPAG00000006131
haplochromis_burtoni ENSHBUG00000014129
pundamilia_nyererei ENSPNYG00000013351
cyprinodon_variegatus ENSCVAG00000017755
