nothoprocta_perdicaria ENSNPEG00000002148
apteryx_haastii ENSAHAG00000017908
lonchura_striata_domestica ENSLSDG00000016296
serinus_canaria ENSSCAG00000008939
cyanistes_caeruleus ENSCCEG00000008338
manacus_vitellinus ENSMVIG00005011188
calidris_pugnax ENSCPUG00000017417
melopsittacus_undulatus ENSMUNG00000014156
gopherus_agassizii ENSGAGG00000019243
piliocolobus_tephrosceles ENSPTEG00000020511
theropithecus_gelada ENSTGEG00000005092
spermophilus_dauricus ENSSDAG00000018315
ornithorhynchus_anatinus ENSOANG00000022695
