xiphophorus_couchianus ENSXCOG00000018306
fundulus_heteroclitus ENSFHEG00000008972
poecilia_reticulata ENSPREG00000001573
amphiprion_ocellaris ENSAOCG00000015071
amphiprion_ocellaris ENSAOCG00000021834
amphiprion_ocellaris ENSAOCG00000016384
amphiprion_percula ENSAPEG00000001087
oryzias_latipes_asm223469v1 ENSORLG00015001752
pundamilia_nyererei ENSPNYG00000006269
neolamprologus_brichardi ENSNBRG00000007592
neolamprologus_brichardi ENSNBRG00000007662
poecilia_formosa ENSPFOG00000022986
poecilia_reticulata ENSPREG00000001621
xiphophorus_maculatus ENSXMAG00000022914
kryptolebias_marmoratus ENSKMAG00000001724
oryzias_melastigma ENSOMEG00000000447
oryzias_latipes_asm223469v1 ENSORLG00015002230
amphilophus_citrinellus ENSACIG00000020541
oryzias_melastigma ENSOMEG00000017855
labrus_bergylta ENSLBEG00000016837
periophthalmus_magnuspinnatus ENSPMGG00000009258
oryzias_melastigma ENSOMEG00000017805
labrus_bergylta ENSLBEG00000023676
labrus_bergylta ENSLBEG00000008807
mastacembelus_armatus ENSMAMG00000000529
mastacembelus_armatus ENSMAMG00000023808
monopterus_albus ENSMALG00000004096
oryzias_melastigma ENSOMEG00000007144
maylandia_zebra ENSMZEG00005025903
maylandia_zebra ENSMZEG00005019165
pundamilia_nyererei ENSPNYG00000023335
neolamprologus_brichardi ENSNBRG00000007836
amphilophus_citrinellus ENSACIG00000023181
poecilia_reticulata ENSPREG00000001358
anabas_testudineus ENSATEG00000024869
astyanax_mexicanus ENSAMXG00000034222
astyanax_mexicanus ENSAMXG00000038096
pygocentrus_nattereri ENSPNAG00000026967
ictalurus_punctatus ENSIPUG00000000164
