rhinopithecus_bieti ENSRBIG00000044902
rhinopithecus_roxellana ENSRROG00000001261
piliocolobus_tephrosceles ENSPTEG00000002553
theropithecus_gelada ENSTGEG00000022476
papio_anubis ENSPANG00000031217
nomascus_leucogenys ENSNLEG00000029345
pan_paniscus ENSPPAG00000033183
saimiri_boliviensis_boliviensis ENSSBOG00000032666
aotus_nancymaae ENSANAG00000036736
mus_spicilegus ENSMSIG00000000310
peromyscus_maniculatus_bairdii ENSPEMG00000026813
spermophilus_dauricus ENSSDAG00000023633
marmota_marmota_marmota ENSMMMG00000021119
meriones_unguiculatus ENSMUGG00000027042
cricetulus_griseus_crigri-picr ENSCGRG00015026454
ursus_maritimus ENSUMAG00000022073
neovison_vison ENSNVIG00000017668
vulpes_vulpes ENSVVUG00000016046
sus_scrofa ENSSSCG00000033511
