amphilophus_citrinellus ENSACIG00000021340
poecilia_reticulata ENSPREG00000000372
astatotilapia_calliptera ENSACLG00000020940
poecilia_formosa ENSPFOG00000023971
poecilia_mexicana ENSPMEG00000020122
poecilia_latipinna ENSPLAG00000022795
xiphophorus_couchianus ENSXCOG00000008791
xiphophorus_maculatus ENSXMAG00000029280
scophthalmus_maximus ENSSMAG00000002370
amphiprion_ocellaris ENSAOCG00000009928
anabas_testudineus ENSATEG00000015596
danio_rerio ENSDARG00000096463
danio_rerio ENSDARG00000099785
astyanax_mexicanus ENSAMXG00000043648
paramormyrops_kingsleyae ENSPKIG00000000250
