macaca_nemestrina ENSMNEG00000027946
macaca_fascicularis ENSMFAG00000003643
mandrillus_leucophaeus ENSMLEG00000014637
cercocebus_atys ENSCATG00000000109
papio_anubis ENSPANG00000034674
rhinopithecus_bieti ENSRBIG00000038792
colobus_angolensis_palliatus ENSCANG00000028515
rhinopithecus_bieti ENSRBIG00000031085
rhinopithecus_bieti ENSRBIG00000034549
rhinopithecus_roxellana ENSRROG00000003977
theropithecus_gelada ENSTGEG00000004416
theropithecus_gelada ENSTGEG00000024591
colobus_angolensis_palliatus ENSCANG00000030651
piliocolobus_tephrosceles ENSPTEG00000027558
rhinopithecus_roxellana ENSRROG00000001420
mandrillus_leucophaeus ENSMLEG00000043464
mandrillus_leucophaeus ENSMLEG00000032551
papio_anubis ENSPANG00000031714
cebus_capucinus_imitator ENSCCAG00000022214
