choloepus_hoffmanni ENSCHOG00000013119
dasypus_novemcinctus ENSDNOG00000006720
tursiops_truncatus ENSTTRG00000007414
ovis_aries ENSOARG00000016107
vicugna_pacos ENSVPAG00000000677
panthera_pardus ENSPPRG00000001099
panthera_tigris_altaica ENSPTIG00000012985
pan_paniscus ENSPPAG00000031786
pan_troglodytes ENSPTRG00000052553
gorilla_gorilla ENSGGOG00000037895
pongo_abelii ENSPPYG00000011289
nomascus_leucogenys ENSNLEG00000001885
macaca_fascicularis ENSMFAG00000031811
macaca_mulatta ENSMMUG00000048356
macaca_nemestrina ENSMNEG00000033884
mandrillus_leucophaeus ENSMLEG00000035388
papio_anubis ENSPANG00000017327
cercocebus_atys ENSCATG00000034516
chlorocebus_sabaeus ENSCSAG00000008829
rhinopithecus_bieti ENSRBIG00000039519
rhinopithecus_roxellana ENSRROG00000033733
colobus_angolensis_palliatus ENSCANG00000036972
cebus_capucinus_imitator ENSCCAG00000001307
saimiri_boliviensis_boliviensis ENSSBOG00000021321
callithrix_jacchus ENSCJAG00000043016
aotus_nancymaae ENSANAG00000030107
carlito_syrichta ENSTSYG00000008491
microcebus_murinus ENSMICG00000038742
ochotona_princeps ENSOPRG00000018180
pteropus_vampyrus ENSPVAG00000005874
procavia_capensis ENSPCAG00000007749
