kryptolebias_marmoratus ENSKMAG00000013905
labrus_bergylta ENSLBEG00000017276
mastacembelus_armatus ENSMAMG00000015539
monopterus_albus ENSMALG00000001370
anabas_testudineus ENSATEG00000016197
seriola_dumerili ENSSDUG00000016757
seriola_lalandi_dorsalis ENSSLDG00000008107
scophthalmus_maximus ENSSMAG00000006506
mola_mola ENSMMOG00000001570
takifugu_rubripes ENSTRUG00000024729
hippocampus_comes ENSHCOG00000011131
amphiprion_percula ENSAPEG00000017766
amphiprion_ocellaris ENSAOCG00000019368
acanthochromis_polyacanthus ENSAPOG00000002797
stegastes_partitus ENSSPAG00000020873
astatotilapia_calliptera ENSACLG00000004404
pundamilia_nyererei ENSPNYG00000007123
maylandia_zebra ENSMZEG00005020030
haplochromis_burtoni ENSHBUG00000011555
neolamprologus_brichardi ENSNBRG00000009615
amphilophus_citrinellus ENSACIG00000020395
xiphophorus_maculatus ENSXMAG00000029451
xiphophorus_couchianus ENSXCOG00000002388
gambusia_affinis ENSGAFG00000012125
poecilia_latipinna ENSPLAG00000000358
poecilia_mexicana ENSPMEG00000019440
cyprinodon_variegatus ENSCVAG00000016328
fundulus_heteroclitus ENSFHEG00000013147
oryzias_latipes_asm223469v1 ENSORLG00015010983
oryzias_latipes_asm223467v1 ENSORLG00000024824
oryzias_latipes_asm223471v1 ENSORLG00020004563
oryzias_melastigma ENSOMEG00000006908
periophthalmus_magnuspinnatus ENSPMGG00000023229
esox_lucius ENSELUG00000005859
pygocentrus_nattereri ENSPNAG00000023745
astyanax_mexicanus ENSAMXG00000036143
ictalurus_punctatus ENSIPUG00000016108
danio_rerio ENSDARG00000115806
scleropages_formosus ENSSFOG00015022101
paramormyrops_kingsleyae ENSPKIG00000006808
