haplochromis_burtoni ENSHBUG00000016438
neolamprologus_brichardi ENSNBRG00000021628
amphilophus_citrinellus ENSACIG00000010445
tetraodon_nigroviridis ENSTNIG00000003567
danio_rerio ENSDARG00000104993
lepisosteus_oculatus ENSLOCG00000010456
carlito_syrichta ENSTSYG00000010547
pan_paniscus ENSPPAG00000037040
propithecus_coquereli ENSPCOG00000026096
meriones_unguiculatus ENSMUGG00000027096
meriones_unguiculatus ENSMUGG00000023891
cricetulus_griseus_crigri_1.0 ENSCGRG00000009237
oryctolagus_cuniculus ENSOCUG00000011936
cavia_aperea ENSCAPG00000005226
chinchilla_lanigera ENSCLAG00000009212
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008703
octodon_degus ENSODEG00000009079
chlorocebus_sabaeus ENSCSAG00000012066
marmota_marmota_marmota ENSMMMG00000014363
castor_canadensis ENSCCNG00000013018
tupaia_belangeri ENSTBEG00000010448
capra_hircus ENSCHIG00000016747
ovis_aries ENSOARG00000011911
myotis_lucifugus ENSMLUG00000013987
ursus_americanus ENSUAMG00000010977
ursus_americanus ENSUAMG00000000395
ailuropoda_melanoleuca ENSAMEG00000017139
canis_lupus_familiaris ENSCAFG00000007194
canis_lupus_dingo ENSCAFG00020010214
vulpes_vulpes ENSVVUG00000015358
sus_scrofa ENSSSCG00000035818
equus_caballus ENSECAG00000011801
equus_asinus_asinus ENSEASG00005001422
loxodonta_africana ENSLAFG00000004111
procavia_capensis ENSPCAG00000004228
echinops_telfairi ENSETEG00000013535
dasypus_novemcinctus ENSDNOG00000041526
phascolarctos_cinereus ENSPCIG00000035698
sarcophilus_harrisii ENSSHAG00000012410
monodelphis_domestica ENSMODG00000024453
ornithorhynchus_anatinus ENSOANG00000013507
calidris_pygmaea ENSCPGG00000010056
calidris_pugnax ENSCPUG00000019663
melopsittacus_undulatus ENSMUNG00000015306
parus_major ENSPMJG00000005000
cyanistes_caeruleus ENSCCEG00000021638
manacus_vitellinus ENSMVIG00005017891
lepidothrix_coronata ENSLCOG00000013269
manacus_vitellinus ENSMVIG00005006895
taeniopygia_guttata ENSTGUG00000009270
lonchura_striata_domestica ENSLSDG00000007697
serinus_canaria ENSSCAG00000006213
zonotrichia_albicollis ENSZALG00000002320
coturnix_japonica ENSCJPG00005016819
anas_platyrhynchos_platyrhynchos ENSAPLG00000025191
apteryx_haastii ENSAHAG00000008334
apteryx_rowi ENSARWG00000001963
apteryx_owenii ENSAOWG00000015171
dromaius_novaehollandiae ENSDNVG00000008529
crocodylus_porosus ENSCPRG00005016492
chelonoidis_abingdonii ENSCABG00000019744
gopherus_agassizii ENSGAGG00000013898
chrysemys_picta_bellii ENSCPBG00000025159
nothoprocta_perdicaria ENSNPEG00000003589
notechis_scutatus ENSNSUG00000010914
salvator_merianae ENSSMRG00000017340
