eptatretus_burgeri ENSEBUG00000011106
petromyzon_marinus ENSPMAG00000002338
pygocentrus_nattereri ENSPNAG00000022704
astyanax_mexicanus ENSAMXG00000039521
ictalurus_punctatus ENSIPUG00000005561
danio_rerio ENSDARG00000007697
oryzias_latipes_asm223467v1 ENSORLG00000013475
oryzias_latipes_asm223471v1 ENSORLG00020016674
oryzias_latipes_asm223469v1 ENSORLG00015014791
oryzias_melastigma ENSOMEG00000013438
kryptolebias_marmoratus ENSKMAG00000011821
fundulus_heteroclitus ENSFHEG00000009837
cyprinodon_variegatus ENSCVAG00000003322
poecilia_formosa ENSPFOG00000015760
poecilia_mexicana ENSPMEG00000016687
poecilia_latipinna ENSPLAG00000017152
poecilia_reticulata ENSPREG00000006428
xiphophorus_couchianus ENSXCOG00000014044
xiphophorus_maculatus ENSXMAG00000009736
xiphophorus_maculatus ENSXMAG00000009747
xiphophorus_couchianus ENSXCOG00000014056
gambusia_affinis ENSGAFG00000019697
poecilia_formosa ENSPFOG00000015765
poecilia_latipinna ENSPLAG00000017148
poecilia_mexicana ENSPMEG00000016676
poecilia_reticulata ENSPREG00000006283
astatotilapia_calliptera ENSACLG00000011625
maylandia_zebra ENSMZEG00005001820
haplochromis_burtoni ENSHBUG00000006848
pundamilia_nyererei ENSPNYG00000015683
oreochromis_niloticus ENSONIG00000001326
neolamprologus_brichardi ENSNBRG00000023141
amphilophus_citrinellus ENSACIG00000015837
seriola_dumerili ENSSDUG00000014441
seriola_lalandi_dorsalis ENSSLDG00000018578
scophthalmus_maximus ENSSMAG00000018351
mastacembelus_armatus ENSMAMG00000004479
monopterus_albus ENSMALG00000017399
anabas_testudineus ENSATEG00000010300
amphiprion_ocellaris ENSAOCG00000019785
amphiprion_percula ENSAPEG00000014966
acanthochromis_polyacanthus ENSAPOG00000003576
stegastes_partitus ENSSPAG00000020252
labrus_bergylta ENSLBEG00000020029
gasterosteus_aculeatus ENSGACG00000010166
takifugu_rubripes ENSTRUG00000024156
tetraodon_nigroviridis ENSTNIG00000017217
mola_mola ENSMMOG00000008993
cynoglossus_semilaevis ENSCSEG00000003055
periophthalmus_magnuspinnatus ENSPMGG00000001930
hippocampus_comes ENSHCOG00000020590
hippocampus_comes ENSHCOG00000009263
gadus_morhua ENSGMOG00000011090
mastacembelus_armatus ENSMAMG00000019426
monopterus_albus ENSMALG00000006024
amphiprion_ocellaris ENSAOCG00000018435
amphiprion_percula ENSAPEG00000013523
acanthochromis_polyacanthus ENSAPOG00000018517
stegastes_partitus ENSSPAG00000022425
amphilophus_citrinellus ENSACIG00000003236
fundulus_heteroclitus ENSFHEG00000000626
scophthalmus_maximus ENSSMAG00000005639
pundamilia_nyererei ENSPNYG00000020947
haplochromis_burtoni ENSHBUG00000018125
maylandia_zebra ENSMZEG00005006423
astatotilapia_calliptera ENSACLG00000003340
neolamprologus_brichardi ENSNBRG00000009578
anabas_testudineus ENSATEG00000022911
fundulus_heteroclitus ENSFHEG00000019235
cynoglossus_semilaevis ENSCSEG00000004295
gambusia_affinis ENSGAFG00000006557
xiphophorus_maculatus ENSXMAG00000022722
poecilia_formosa ENSPFOG00000014181
poecilia_mexicana ENSPMEG00000011071
poecilia_reticulata ENSPREG00000018527
poecilia_latipinna ENSPLAG00000010645
xiphophorus_couchianus ENSXCOG00000019120
cyprinodon_variegatus ENSCVAG00000020553
kryptolebias_marmoratus ENSKMAG00000012534
oryzias_latipes_asm223469v1 ENSORLG00015013761
