junco_hyemalis ENSJHYG00000011580
zonotrichia_albicollis ENSZALG00000014979
ficedula_albicollis ENSFALG00000002526
taeniopygia_guttata ENSTGUG00000001329
cyanistes_caeruleus ENSCCEG00000021154
meleagris_gallopavo ENSMGAG00000001842
manacus_vitellinus ENSMVIG00005011377
lepidothrix_coronata ENSLCOG00000005183
melopsittacus_undulatus ENSMUNG00000004129
anas_platyrhynchos_platyrhynchos ENSAPLG00000021537
anser_brachyrhynchus ENSABRG00000017940
numida_meleagris ENSNMEG00000008884
calidris_pugnax ENSCPUG00000017584
dromaius_novaehollandiae ENSDNVG00000018691
gopherus_agassizii ENSGAGG00000009217
pogona_vitticeps ENSPVIG00000007690
anolis_carolinensis ENSACAG00000028869
salvator_merianae ENSSMRG00000003929
loxodonta_africana ENSLAFG00000012730
procavia_capensis ENSPCAG00000003563
dasypus_novemcinctus ENSDNOG00000040160
bos_taurus ENSBTAG00000024663
bos_mutus ENSBMUG00000018506
ovis_aries ENSOARG00000018789
ovis_aries ENSOARG00000002976
capra_hircus ENSCHIG00000003679
capra_hircus ENSCHIG00000004089
ovis_aries ENSOARG00000012650
tursiops_truncatus ENSTTRG00000001403
sus_scrofa ENSSSCG00000021624
equus_asinus_asinus ENSEASG00005019930
equus_caballus ENSECAG00000013156
pteropus_vampyrus ENSPVAG00000008371
myotis_lucifugus ENSMLUG00000011523
ursus_americanus ENSUAMG00000004832
ursus_maritimus ENSUMAG00000002086
ailuropoda_melanoleuca ENSAMEG00000012147
neovison_vison ENSNVIG00000014122
mustela_putorius_furo ENSMPUG00000010779
canis_lupus_dingo ENSCAFG00020017599
canis_lupus_familiaris ENSCAFG00000030784
vulpes_vulpes ENSVVUG00000003437
panthera_pardus ENSPPRG00000007837
panthera_tigris_altaica ENSPTIG00000013628
felis_catus ENSFCAG00000031969
erinaceus_europaeus ENSEEUG00000004563
macaca_fascicularis ENSMFAG00000044742
macaca_nemestrina ENSMNEG00000044700
macaca_mulatta ENSMMUG00000013507
theropithecus_gelada ENSTGEG00000020906
papio_anubis ENSPANG00000013150
mandrillus_leucophaeus ENSMLEG00000042833
cercocebus_atys ENSCATG00000008418
chlorocebus_sabaeus ENSCSAG00000013986
colobus_angolensis_palliatus ENSCANG00000040354
piliocolobus_tephrosceles ENSPTEG00000026767
rhinopithecus_roxellana ENSRROG00000026911
rhinopithecus_bieti ENSRBIG00000040690
pan_paniscus ENSPPAG00000029203
pan_troglodytes ENSPTRG00000001833
gorilla_gorilla ENSGGOG00000012687
homo_sapiens ENSG00000159166
pongo_abelii ENSPPYG00000000363
nomascus_leucogenys ENSNLEG00000018080
cebus_capucinus_imitator ENSCCAG00000023575
saimiri_boliviensis_boliviensis ENSSBOG00000026021
callithrix_jacchus ENSCJAG00000005479
aotus_nancymaae ENSANAG00000025220
aotus_nancymaae ENSANAG00000024595
carlito_syrichta ENSTSYG00000009029
prolemur_simus ENSPSMG00000020071
microcebus_murinus ENSMICG00000026613
propithecus_coquereli ENSPCOG00000019403
otolemur_garnettii ENSOGAG00000029505
tupaia_belangeri ENSTBEG00000009344
castor_canadensis ENSCCNG00000015845
dipodomys_ordii ENSDORG00000006348
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000041782
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015451
mus_spicilegus ENSMSIG00000016232
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014644
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027880
rattus_norvegicus ENSRNOG00000009144
meriones_unguiculatus ENSMUGG00000007614
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023271
cricetulus_griseus_crigri_1.0 ENSCGRG00000010453
cricetulus_griseus_crigri-picr ENSCGRG00015024195
mesocricetus_auratus ENSMAUG00000005981
microtus_ochrogaster ENSMOCG00000012808
peromyscus_maniculatus_bairdii ENSPEMG00000008947
nannospalax_galili ENSNGAG00000024290
jaculus_jaculus ENSJJAG00000010044
chinchilla_lanigera ENSCLAG00000010186
octodon_degus ENSODEG00000011384
cavia_porcellus ENSCPOG00000005299
cavia_aperea ENSCAPG00000016314
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019347
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006023
fukomys_damarensis ENSFDAG00000014565
ictidomys_tridecemlineatus ENSSTOG00000019836
marmota_marmota_marmota ENSMMMG00000012435
urocitellus_parryii ENSUPAG00010009149
spermophilus_dauricus ENSSDAG00000012113
ochotona_princeps ENSOPRG00000011841
oryctolagus_cuniculus ENSOCUG00000007730
phascolarctos_cinereus ENSPCIG00000033473
notamacropus_eugenii ENSMEUG00000016234
sarcophilus_harrisii ENSSHAG00000003339
monodelphis_domestica ENSMODG00000000386
ornithorhynchus_anatinus ENSOANG00000008287
