cebus_capucinus_imitator ENSCCAG00000035536
callithrix_jacchus ENSCJAG00000003942
saimiri_boliviensis_boliviensis ENSSBOG00000016489
nomascus_leucogenys ENSNLEG00000031472
nomascus_leucogenys ENSNLEG00000027735
pongo_abelii ENSPPYG00000019031
pongo_abelii ENSPPYG00000018340
pan_troglodytes ENSPTRG00000028485
homo_sapiens ENSG00000184276
gorilla_gorilla ENSGGOG00000028100
pan_paniscus ENSPPAG00000028851
pan_troglodytes ENSPTRG00000031265
pongo_abelii ENSPPYG00000019002
piliocolobus_tephrosceles ENSPTEG00000031896
piliocolobus_tephrosceles ENSPTEG00000027076
rhinopithecus_roxellana ENSRROG00000039361
piliocolobus_tephrosceles ENSPTEG00000014488
colobus_angolensis_palliatus ENSCANG00000032504
mandrillus_leucophaeus ENSMLEG00000028482
macaca_fascicularis ENSMFAG00000044109
theropithecus_gelada ENSTGEG00000014962
macaca_nemestrina ENSMNEG00000043971
cercocebus_atys ENSCATG00000030201
papio_anubis ENSPANG00000022331
pongo_abelii ENSPPYG00000014558
piliocolobus_tephrosceles ENSPTEG00000006118
carlito_syrichta ENSTSYG00000001281
microcebus_murinus ENSMICG00000010475
prolemur_simus ENSPSMG00000003978
spermophilus_dauricus ENSSDAG00000012362
urocitellus_parryii ENSUPAG00010023916
marmota_marmota_marmota ENSMMMG00000012205
meriones_unguiculatus ENSMUGG00000026153
oryctolagus_cuniculus ENSOCUG00000029122
ochotona_princeps ENSOPRG00000010591
pteropus_vampyrus ENSPVAG00000011579
myotis_lucifugus ENSMLUG00000028929
neovison_vison ENSNVIG00000009073
canis_lupus_dingo ENSCAFG00020022498
ursus_maritimus ENSUMAG00000023364
panthera_tigris_altaica ENSPTIG00000013317
panthera_pardus ENSPPRG00000003331
bos_mutus ENSBMUG00000007179
bos_mutus ENSBMUG00000008701
bos_taurus ENSBTAG00000054169
bison_bison_bison ENSBBBG00000017432
ovis_aries ENSOARG00000006488
equus_caballus ENSECAG00000033712
equus_asinus_asinus ENSEASG00005022310
erinaceus_europaeus ENSEEUG00000007878
choloepus_hoffmanni ENSCHOG00000009812
