echinops_telfairi ENSETEG00000005737
procavia_capensis ENSPCAG00000000865
pan_paniscus ENSPPAG00000031602
pan_troglodytes ENSPTRG00000013549
homo_sapiens ENSG00000101443
gorilla_gorilla ENSGGOG00000004175
nomascus_leucogenys ENSNLEG00000006742
piliocolobus_tephrosceles ENSPTEG00000024011
piliocolobus_tephrosceles ENSPTEG00000028809
rhinopithecus_bieti ENSRBIG00000037385
rhinopithecus_roxellana ENSRROG00000036001
colobus_angolensis_palliatus ENSCANG00000039835
theropithecus_gelada ENSTGEG00000020051
papio_anubis ENSPANG00000015717
macaca_mulatta ENSMMUG00000002751
macaca_fascicularis ENSMFAG00000030693
macaca_nemestrina ENSMNEG00000035443
chlorocebus_sabaeus ENSCSAG00000014404
cercocebus_atys ENSCATG00000031884
mandrillus_leucophaeus ENSMLEG00000044291
cebus_capucinus_imitator ENSCCAG00000036793
saimiri_boliviensis_boliviensis ENSSBOG00000029607
callithrix_jacchus ENSCJAG00000017405
aotus_nancymaae ENSANAG00000038197
carlito_syrichta ENSTSYG00000011718
prolemur_simus ENSPSMG00000024768
microcebus_murinus ENSMICG00000015749
propithecus_coquereli ENSPCOG00000006789
otolemur_garnettii ENSOGAG00000010396
dipodomys_ordii ENSDORG00000015474
jaculus_jaculus ENSJJAG00000020078
mus_spicilegus ENSMSIG00000022015
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025572
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017723
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024650
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026094
rattus_norvegicus ENSRNOG00000014739
meriones_unguiculatus ENSMUGG00000026242
cricetulus_griseus_crigri-picr ENSCGRG00015021925
peromyscus_maniculatus_bairdii ENSPEMG00000016629
nannospalax_galili ENSNGAG00000021018
castor_canadensis ENSCCNG00000022900
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008108
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018256
fukomys_damarensis ENSFDAG00000011090
cavia_porcellus ENSCPOG00000031016
cavia_aperea ENSCAPG00000016511
octodon_degus ENSODEG00000008329
chinchilla_lanigera ENSCLAG00000008937
ictidomys_tridecemlineatus ENSSTOG00000020720
urocitellus_parryii ENSUPAG00010002876
marmota_marmota_marmota ENSMMMG00000005234
oryctolagus_cuniculus ENSOCUG00000009529
ochotona_princeps ENSOPRG00000001502
tursiops_truncatus ENSTTRG00000015979
sus_scrofa ENSSSCG00000033003
capra_hircus ENSCHIG00000023883
ovis_aries ENSOARG00000006096
bos_mutus ENSBMUG00000022402
bison_bison_bison ENSBBBG00000002447
pteropus_vampyrus ENSPVAG00000006813
myotis_lucifugus ENSMLUG00000005941
equus_asinus_asinus ENSEASG00005023387
equus_caballus ENSECAG00000017609
mustela_putorius_furo ENSMPUG00000017630
neovison_vison ENSNVIG00000010427
ursus_americanus ENSUAMG00000020603
ursus_maritimus ENSUMAG00000025174
ailuropoda_melanoleuca ENSAMEG00000004316
vulpes_vulpes ENSVVUG00000018792
canis_lupus_familiaris ENSCAFG00000009696
panthera_tigris_altaica ENSPTIG00000004268
dasypus_novemcinctus ENSDNOG00000031019
phascolarctos_cinereus ENSPCIG00000009378
sarcophilus_harrisii ENSSHAG00000002717
monodelphis_domestica ENSMODG00000016177
ornithorhynchus_anatinus ENSOANG00000012145
anser_brachyrhynchus ENSABRG00000009046
anas_platyrhynchos_platyrhynchos ENSAPLG00000000674
gallus_gallus ENSGALG00000031164
coturnix_japonica ENSCJPG00005006312
meleagris_gallopavo ENSMGAG00000003771
numida_meleagris ENSNMEG00000016440
calidris_pygmaea ENSCPGG00000002735
calidris_pugnax ENSCPUG00000005828
melopsittacus_undulatus ENSMUNG00000007371
parus_major ENSPMJG00000005915
lonchura_striata_domestica ENSLSDG00000010184
junco_hyemalis ENSJHYG00000014937
cyanistes_caeruleus ENSCCEG00000003983
serinus_canaria ENSSCAG00000013965
lepidothrix_coronata ENSLCOG00000009932
dromaius_novaehollandiae ENSDNVG00000004926
nothoprocta_perdicaria ENSNPEG00000007202
apteryx_owenii ENSAOWG00000003990
apteryx_rowi ENSARWG00000011418
crocodylus_porosus ENSCPRG00005008175
gopherus_agassizii ENSGAGG00000011931
chrysemys_picta_bellii ENSCPBG00000027314
notechis_scutatus ENSNSUG00000004871
pogona_vitticeps ENSPVIG00000017400
salvator_merianae ENSSMRG00000010405
