cyprinodon_variegatus ENSCVAG00000008548
fundulus_heteroclitus ENSFHEG00000022485
poecilia_mexicana ENSPMEG00000003855
poecilia_mexicana ENSPMEG00000003875
poecilia_formosa ENSPFOG00000009067
poecilia_latipinna ENSPLAG00000004563
poecilia_reticulata ENSPREG00000000599
xiphophorus_maculatus ENSXMAG00000011532
gambusia_affinis ENSGAFG00000003157
oryzias_latipes_asm223469v1 ENSORLG00015014354
oryzias_latipes_asm223471v1 ENSORLG00020012931
oryzias_latipes_asm223467v1 ENSORLG00000022901
oryzias_latipes_asm223467v1 ENSORLG00000012361
oryzias_latipes_asm223471v1 ENSORLG00020012883
oryzias_melastigma ENSOMEG00000021600
maylandia_zebra ENSMZEG00005008276
neolamprologus_brichardi ENSNBRG00000012028
oreochromis_niloticus ENSONIG00000009067
amphiprion_ocellaris ENSAOCG00000007298
amphiprion_percula ENSAPEG00000016466
acanthochromis_polyacanthus ENSAPOG00000000102
stegastes_partitus ENSSPAG00000009615
kryptolebias_marmoratus ENSKMAG00000004167
maylandia_zebra ENSMZEG00005008269
pundamilia_nyererei ENSPNYG00000019190
astatotilapia_calliptera ENSACLG00000011218
haplochromis_burtoni ENSHBUG00000010000
amphilophus_citrinellus ENSACIG00000020850
takifugu_rubripes ENSTRUG00000012128
tetraodon_nigroviridis ENSTNIG00000002096
mola_mola ENSMMOG00000012292
labrus_bergylta ENSLBEG00000002121
periophthalmus_magnuspinnatus ENSPMGG00000013860
monopterus_albus ENSMALG00000003860
anabas_testudineus ENSATEG00000019848
mastacembelus_armatus ENSMAMG00000004194
scophthalmus_maximus ENSSMAG00000013984
cynoglossus_semilaevis ENSCSEG00000013949
seriola_lalandi_dorsalis ENSSLDG00000025031
seriola_dumerili ENSSDUG00000018081
hippocampus_comes ENSHCOG00000003306
gadus_morhua ENSGMOG00000011438
esox_lucius ENSELUG00000013554
pygocentrus_nattereri ENSPNAG00000008132
astyanax_mexicanus ENSAMXG00000039396
ictalurus_punctatus ENSIPUG00000012894
scleropages_formosus ENSSFOG00015016743
paramormyrops_kingsleyae ENSPKIG00000025274
lepisosteus_oculatus ENSLOCG00000006584
anser_brachyrhynchus ENSABRG00000017929
anas_platyrhynchos_platyrhynchos ENSAPLG00000013490
gallus_gallus ENSGALG00000012074
coturnix_japonica ENSCJPG00005006791
meleagris_gallopavo ENSMGAG00000010978
numida_meleagris ENSNMEG00000005940
calidris_pygmaea ENSCPGG00000002093
calidris_pugnax ENSCPUG00000015527
parus_major ENSPMJG00000005717
cyanistes_caeruleus ENSCCEG00000023660
ficedula_albicollis ENSFALG00000000956
lonchura_striata_domestica ENSLSDG00000012126
taeniopygia_guttata ENSTGUG00000001800
junco_hyemalis ENSJHYG00000001778
zonotrichia_albicollis ENSZALG00000004495
serinus_canaria ENSSCAG00000009087
manacus_vitellinus ENSMVIG00005013232
manacus_vitellinus ENSMVIG00005013226
lepidothrix_coronata ENSLCOG00000002045
apteryx_haastii ENSAHAG00000009754
apteryx_owenii ENSAOWG00000005201
apteryx_rowi ENSARWG00000004624
dromaius_novaehollandiae ENSDNVG00000008887
nothoprocta_perdicaria ENSNPEG00000001833
crocodylus_porosus ENSCPRG00005005236
pelodiscus_sinensis ENSPSIG00000002419
pelodiscus_sinensis ENSPSIG00000002420
gopherus_agassizii ENSGAGG00000024500
chelonoidis_abingdonii ENSCABG00000004069
chrysemys_picta_bellii ENSCPBG00000004794
pogona_vitticeps ENSPVIG00000002933
anolis_carolinensis ENSACAG00000010623
notechis_scutatus ENSNSUG00000003921
salvator_merianae ENSSMRG00000014696
sphenodon_punctatus ENSSPUG00000017299
phascolarctos_cinereus ENSPCIG00000030072
notamacropus_eugenii ENSMEUG00000004765
monodelphis_domestica ENSMODG00000005729
sus_scrofa ENSSSCG00000031348
sus_scrofa ENSSSCG00000039387
ovis_aries ENSOARG00000002625
capra_hircus ENSCHIG00000020323
bos_mutus ENSBMUG00000021337
bos_taurus ENSBTAG00000034875
bison_bison_bison ENSBBBG00000006692
tursiops_truncatus ENSTTRG00000005153
vicugna_pacos ENSVPAG00000010488
equus_caballus ENSECAG00000007247
equus_asinus_asinus ENSEASG00005005579
ursus_americanus ENSUAMG00000027728
ailuropoda_melanoleuca ENSAMEG00000014797
neovison_vison ENSNVIG00000014151
mustela_putorius_furo ENSMPUG00000008471
canis_lupus_dingo ENSCAFG00020017196
canis_lupus_familiaris ENSCAFG00000011670
vulpes_vulpes ENSVVUG00000002069
panthera_tigris_altaica ENSPTIG00000010881
panthera_pardus ENSPPRG00000001947
felis_catus ENSFCAG00000010710
ursus_maritimus ENSUMAG00000002186
ursus_maritimus ENSUMAG00000002189
panthera_tigris_altaica ENSPTIG00000011290
erinaceus_europaeus ENSEEUG00000008579
pteropus_vampyrus ENSPVAG00000006939
castor_canadensis ENSCCNG00000021624
dipodomys_ordii ENSDORG00000012751
mus_spicilegus ENSMSIG00000028181
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026570
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028028
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025617
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027064
rattus_norvegicus ENSRNOG00000022636
meriones_unguiculatus ENSMUGG00000009137
peromyscus_maniculatus_bairdii ENSPEMG00000004361
