cricetulus_griseus_crigri-picr ENSCGRG00015005242
cricetulus_griseus_crigri_1.0 ENSCGRG00000011124
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010052
mesocricetus_auratus ENSMAUG00000000502
microtus_ochrogaster ENSMOCG00000012163
peromyscus_maniculatus_bairdii ENSPEMG00000015600
mus_spicilegus ENSMSIG00000025164
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028284
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063656
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027292
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017070
meriones_unguiculatus ENSMUGG00000018362
jaculus_jaculus ENSJJAG00000009677
