gorilla_gorilla ENSGGOG00000036204
rhinopithecus_bieti ENSRBIG00000041982
aotus_nancymaae ENSANAG00000037706
callithrix_jacchus ENSCJAG00000038840
carlito_syrichta ENSTSYG00000032054
propithecus_coquereli ENSPCOG00000002687
microcebus_murinus ENSMICG00000046206
cricetulus_griseus_crigri-picr ENSCGRG00015002280
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001161
peromyscus_maniculatus_bairdii ENSPEMG00000028805
mus_spicilegus ENSMSIG00000013984
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000107877
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017502
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016665
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017798
nannospalax_galili ENSNGAG00000015450
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003112
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011568
mustela_putorius_furo ENSMPUG00000019733
panthera_pardus ENSPPRG00000002491
dasypus_novemcinctus ENSDNOG00000048491
