canis_lupus_dingo ENSCAFG00020003016
panthera_pardus ENSPPRG00000004303
equus_caballus ENSECAG00000039452
chinchilla_lanigera ENSCLAG00000004838
cavia_porcellus ENSCPOG00000022705
spermophilus_dauricus ENSSDAG00000020048
peromyscus_maniculatus_bairdii ENSPEMG00000030427
peromyscus_maniculatus_bairdii ENSPEMG00000030615
microtus_ochrogaster ENSMOCG00000010154
microtus_ochrogaster ENSMOCG00000002125
cricetulus_griseus_crigri-picr ENSCGRG00015028202
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001000056
cricetulus_griseus_crigri_1.0 ENSCGRG00000001529
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011992
meriones_unguiculatus ENSMUGG00000013089
meriones_unguiculatus ENSMUGG00000007098
meriones_unguiculatus ENSMUGG00000009301
mus_spicilegus ENSMSIG00000000460
mus_spicilegus ENSMSIG00000029312
mus_spicilegus ENSMSIG00000010287
mus_spicilegus ENSMSIG00000018348
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058174
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000058932
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000065952
mus_spicilegus ENSMSIG00000026694
mus_spicilegus ENSMSIG00000009183
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018812
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018734
rattus_norvegicus ENSRNOG00000031483
rattus_norvegicus ENSRNOG00000033214
castor_canadensis ENSCCNG00000003768
eptatretus_burgeri ENSEBUG00000004615
