callithrix_jacchus ENSCJAG00000000883
cebus_capucinus_imitator ENSCCAG00000037070
aotus_nancymaae ENSANAG00000020147
macaca_fascicularis ENSMFAG00000041425
chlorocebus_sabaeus ENSCSAG00000000224
rhinopithecus_roxellana ENSRROG00000045241
macaca_fascicularis ENSMFAG00000031154
macaca_mulatta ENSMMUG00000038839
mandrillus_leucophaeus ENSMLEG00000034498
pongo_abelii ENSPPYG00000010599
pongo_abelii ENSPPYG00000010677
pongo_abelii ENSPPYG00000010664
homo_sapiens ENSG00000268674
pan_troglodytes ENSPTRG00000030418
gorilla_gorilla ENSGGOG00000028393
