xiphophorus_couchianus ENSXCOG00000020187
xiphophorus_maculatus ENSXMAG00000000574
gambusia_affinis ENSGAFG00000018348
poecilia_latipinna ENSPLAG00000003130
poecilia_reticulata ENSPREG00000003660
poecilia_mexicana ENSPMEG00000002156
poecilia_formosa ENSPFOG00000023867
cyprinodon_variegatus ENSCVAG00000000353
kryptolebias_marmoratus ENSKMAG00000001874
maylandia_zebra ENSMZEG00005006963
haplochromis_burtoni ENSHBUG00000020308
astatotilapia_calliptera ENSACLG00000021195
pundamilia_nyererei ENSPNYG00000008187
neolamprologus_brichardi ENSNBRG00000009133
amphilophus_citrinellus ENSACIG00000015714
gadus_morhua ENSGMOG00000017203
esox_lucius ENSELUG00000003273
