theropithecus_gelada ENSTGEG00000029386
piliocolobus_tephrosceles ENSPTEG00000036684
homo_sapiens ENSG00000240053
callithrix_jacchus ENSCJAG00000040243
cebus_capucinus_imitator ENSCCAG00000034570
rhinopithecus_bieti ENSRBIG00000037477
rhinopithecus_roxellana ENSRROG00000044437
colobus_angolensis_palliatus ENSCANG00000036053
cercocebus_atys ENSCATG00000040483
mandrillus_leucophaeus ENSMLEG00000042020
macaca_fascicularis ENSMFAG00000030371
macaca_mulatta ENSMMUG00000005294
macaca_nemestrina ENSMNEG00000031034
papio_anubis ENSPANG00000015705
pan_paniscus ENSPPAG00000026174
pan_troglodytes ENSPTRG00000017974
homo_sapiens ENSG00000263020
gorilla_gorilla ENSGGOG00000005543
saimiri_boliviensis_boliviensis ENSSBOG00000031755
equus_caballus ENSECAG00000021100
equus_asinus_asinus ENSEASG00005016263
sus_scrofa ENSSSCG00000001414
prolemur_simus ENSPSMG00000017912
propithecus_coquereli ENSPCOG00000021893
microcebus_murinus ENSMICG00000043933
otolemur_garnettii ENSOGAG00000030754
carlito_syrichta ENSTSYG00000026853
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043807
mus_spicilegus ENSMSIG00000005741
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022409
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021504
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020499
rattus_norvegicus ENSRNOG00000027516
microtus_ochrogaster ENSMOCG00000000609
nannospalax_galili ENSNGAG00000012303
castor_canadensis ENSCCNG00000011255
cavia_aperea ENSCAPG00000006873
cavia_porcellus ENSCPOG00000032497
octodon_degus ENSODEG00000017707
chinchilla_lanigera ENSCLAG00000013439
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011468
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015743
fukomys_damarensis ENSFDAG00000008061
ictidomys_tridecemlineatus ENSSTOG00000031349
marmota_marmota_marmota ENSMMMG00000009976
urocitellus_parryii ENSUPAG00010020428
spermophilus_dauricus ENSSDAG00000005995
ursus_maritimus ENSUMAG00000014144
ursus_americanus ENSUAMG00000012228
neovison_vison ENSNVIG00000015818
canis_lupus_familiaris ENSCAFG00000030202
canis_lupus_dingo ENSCAFG00020020712
vulpes_vulpes ENSVVUG00000020898
panthera_tigris_altaica ENSPTIG00000014380
panthera_pardus ENSPPRG00000004348
felis_catus ENSFCAG00000023609
myotis_lucifugus ENSMLUG00000026027
capra_hircus ENSCHIG00000017460
ovis_aries ENSOARG00000006713
bos_mutus ENSBMUG00000014177
bos_taurus ENSBTAG00000039740
bison_bison_bison ENSBBBG00000004413
loxodonta_africana ENSLAFG00000030266
dasypus_novemcinctus ENSDNOG00000032471
phascolarctos_cinereus ENSPCIG00000018510
