poecilia_latipinna ENSPLAG00000001476
kryptolebias_marmoratus ENSKMAG00000006094
labrus_bergylta ENSLBEG00000004096
labrus_bergylta ENSLBEG00000028435
mastacembelus_armatus ENSMAMG00000001432
oryzias_latipes_asm223467v1 ENSORLG00000026327
oryzias_latipes_asm223467v1 ENSORLG00000028248
oryzias_latipes_asm223469v1 ENSORLG00015010168
oryzias_latipes_asm223467v1 ENSORLG00000022959
oryzias_melastigma ENSOMEG00000023356
fundulus_heteroclitus ENSFHEG00000018153
stegastes_partitus ENSSPAG00000010013
esox_lucius ENSELUG00000000637
