ictalurus_punctatus ENSIPUG00000012673
danio_rerio ENSDARG00000057049
mastacembelus_armatus ENSMAMG00000019533
monopterus_albus ENSMALG00000021199
anabas_testudineus ENSATEG00000005163
fundulus_heteroclitus ENSFHEG00000010897
cyprinodon_variegatus ENSCVAG00000007281
poecilia_formosa ENSPFOG00000002079
oryzias_latipes_asm223471v1 ENSORLG00020019126
oryzias_latipes_asm223467v1 ENSORLG00000026109
oryzias_melastigma ENSOMEG00000001169
maylandia_zebra ENSMZEG00005005191
pundamilia_nyererei ENSPNYG00000003604
astatotilapia_calliptera ENSACLG00000005460
haplochromis_burtoni ENSHBUG00000014624
oreochromis_niloticus ENSONIG00000009151
amphilophus_citrinellus ENSACIG00000024263
acanthochromis_polyacanthus ENSAPOG00000010019
mola_mola ENSMMOG00000007207
takifugu_rubripes ENSTRUG00000000937
gasterosteus_aculeatus ENSGACG00000014652
seriola_dumerili ENSSDUG00000021888
seriola_lalandi_dorsalis ENSSLDG00000018002
scophthalmus_maximus ENSSMAG00000016724
periophthalmus_magnuspinnatus ENSPMGG00000019514
paramormyrops_kingsleyae ENSPKIG00000009711
chrysemys_picta_bellii ENSCPBG00000002360
chelonoidis_abingdonii ENSCABG00000009763
taeniopygia_guttata ENSTGUG00000011054
taeniopygia_guttata ENSTGUG00000015986
lonchura_striata_domestica ENSLSDG00000012662
junco_hyemalis ENSJHYG00000010184
ficedula_albicollis ENSFALG00000002204
manacus_vitellinus ENSMVIG00005016020
lepidothrix_coronata ENSLCOG00000009997
calidris_pygmaea ENSCPGG00000011448
calidris_pugnax ENSCPUG00000019359
coturnix_japonica ENSCJPG00005020118
gallus_gallus ENSGALG00000009265
meleagris_gallopavo ENSMGAG00000011251
numida_meleagris ENSNMEG00000012873
nothoprocta_perdicaria ENSNPEG00000014809
pogona_vitticeps ENSPVIG00000010904
pteropus_vampyrus ENSPVAG00000008175
myotis_lucifugus ENSMLUG00000015420
ursus_americanus ENSUAMG00000006576
ailuropoda_melanoleuca ENSAMEG00000014089
neovison_vison ENSNVIG00000004771
canis_lupus_dingo ENSCAFG00020013767
canis_lupus_familiaris ENSCAFG00000011918
vulpes_vulpes ENSVVUG00000010649
panthera_pardus ENSPPRG00000012025
panthera_tigris_altaica ENSPTIG00000019400
felis_catus ENSFCAG00000035502
vicugna_pacos ENSVPAG00000002382
sus_scrofa ENSSSCG00000024337
bos_mutus ENSBMUG00000026140
bos_taurus ENSBTAG00000015062
bison_bison_bison ENSBBBG00000010068
capra_hircus ENSCHIG00000013853
ovis_aries ENSOARG00000018186
tursiops_truncatus ENSTTRG00000005273
equus_caballus ENSECAG00000037881
equus_asinus_asinus ENSEASG00005014501
erinaceus_europaeus ENSEEUG00000014681
castor_canadensis ENSCCNG00000030014
dipodomys_ordii ENSDORG00000000010
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024033
mus_spicilegus ENSMSIG00000028309
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040901
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023112
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014600
rattus_norvegicus ENSRNOG00000032706
meriones_unguiculatus ENSMUGG00000011585
peromyscus_maniculatus_bairdii ENSPEMG00000009989
microtus_ochrogaster ENSMOCG00000003123
cricetulus_griseus_crigri-picr ENSCGRG00015010064
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016865
cricetulus_griseus_crigri_1.0 ENSCGRG00000010741
nannospalax_galili ENSNGAG00000005889
jaculus_jaculus ENSJJAG00000006813
cavia_porcellus ENSCPOG00000003594
cavia_aperea ENSCAPG00000014981
spermophilus_dauricus ENSSDAG00000012568
spermophilus_dauricus ENSSDAG00000022535
urocitellus_parryii ENSUPAG00010007765
spermophilus_dauricus ENSSDAG00000012557
ochotona_princeps ENSOPRG00000002391
tupaia_belangeri ENSTBEG00000009887
pan_troglodytes ENSPTRG00000002978
pan_paniscus ENSPPAG00000042750
gorilla_gorilla ENSGGOG00000027386
homo_sapiens ENSG00000186795
pongo_abelii ENSPPYG00000002689
nomascus_leucogenys ENSNLEG00000016567
piliocolobus_tephrosceles ENSPTEG00000036202
colobus_angolensis_palliatus ENSCANG00000031176
rhinopithecus_bieti ENSRBIG00000036932
rhinopithecus_roxellana ENSRROG00000042605
papio_anubis ENSPANG00000020705
theropithecus_gelada ENSTGEG00000026659
cercocebus_atys ENSCATG00000031895
mandrillus_leucophaeus ENSMLEG00000043402
macaca_fascicularis ENSMFAG00000045802
macaca_nemestrina ENSMNEG00000037673
chlorocebus_sabaeus ENSCSAG00000004806
saimiri_boliviensis_boliviensis ENSSBOG00000024273
callithrix_jacchus ENSCJAG00000019505
cebus_capucinus_imitator ENSCCAG00000023444
aotus_nancymaae ENSANAG00000021900
carlito_syrichta ENSTSYG00000007336
prolemur_simus ENSPSMG00000017691
propithecus_coquereli ENSPCOG00000020687
microcebus_murinus ENSMICG00000015645
otolemur_garnettii ENSOGAG00000007264
dasypus_novemcinctus ENSDNOG00000005657
phascolarctos_cinereus ENSPCIG00000001543
notamacropus_eugenii ENSMEUG00000004180
sarcophilus_harrisii ENSSHAG00000016715
latimeria_chalumnae ENSLACG00000012420
eptatretus_burgeri ENSEBUG00000016739
caenorhabditis_elegans_strain_n2 WBGene00001190
