parus_major ENSPMJG00000004108
serinus_canaria ENSSCAG00000010623
manacus_vitellinus ENSMVIG00005019437
melopsittacus_undulatus ENSMUNG00000011688
calidris_pygmaea ENSCPGG00000005110
apteryx_rowi ENSARWG00000005548
dromaius_novaehollandiae ENSDNVG00000003143
cyanistes_caeruleus ENSCCEG00000000062
zonotrichia_albicollis ENSZALG00000017044
ficedula_albicollis ENSFALG00000009159
crocodylus_porosus ENSCPRG00005019151
ornithorhynchus_anatinus ENSOANG00000004660
apteryx_haastii ENSAHAG00000015122
apteryx_owenii ENSAOWG00000014849
nothoprocta_perdicaria ENSNPEG00000005920
meleagris_gallopavo ENSMGAG00000005423
numida_meleagris ENSNMEG00000014294
lepidothrix_coronata ENSLCOG00000003502
gallus_gallus ENSGALG00000005123
coturnix_japonica ENSCJPG00005012887
anas_platyrhynchos_platyrhynchos ENSAPLG00000013876
anser_brachyrhynchus ENSABRG00000007393
calidris_pugnax ENSCPUG00000005988
taeniopygia_guttata ENSTGUG00000003752
lonchura_striata_domestica ENSLSDG00000015672
junco_hyemalis ENSJHYG00000003430
pelodiscus_sinensis ENSPSIG00000015779
sphenodon_punctatus ENSSPUG00000000948
gopherus_agassizii ENSGAGG00000012374
chelonoidis_abingdonii ENSCABG00000001929
chrysemys_picta_bellii ENSCPBG00000019749
pogona_vitticeps ENSPVIG00000022429
anolis_carolinensis ENSACAG00000012482
notechis_scutatus ENSNSUG00000020150
salvator_merianae ENSSMRG00000019599
notamacropus_eugenii ENSMEUG00000013129
phascolarctos_cinereus ENSPCIG00000009997
sarcophilus_harrisii ENSSHAG00000010766
ursus_americanus ENSUAMG00000027129
ursus_maritimus ENSUMAG00000015882
ailuropoda_melanoleuca ENSAMEG00000009484
neovison_vison ENSNVIG00000020255
mustela_putorius_furo ENSMPUG00000017264
canis_lupus_familiaris ENSCAFG00000032632
canis_lupus_dingo ENSCAFG00020005641
vulpes_vulpes ENSVVUG00000018158
panthera_pardus ENSPPRG00000012734
panthera_tigris_altaica ENSPTIG00000017156
felis_catus ENSFCAG00000044055
pteropus_vampyrus ENSPVAG00000006342
equus_asinus_asinus ENSEASG00005015451
equus_caballus ENSECAG00000009213
tursiops_truncatus ENSTTRG00000011192
sus_scrofa ENSSSCG00000039010
capra_hircus ENSCHIG00000022383
ovis_aries ENSOARG00000001440
