coturnix_japonica ENSCJPG00005006500
anas_platyrhynchos_platyrhynchos ENSAPLG00000023595
lonchura_striata_domestica ENSLSDG00000004356
taeniopygia_guttata ENSTGUG00000016493
serinus_canaria ENSSCAG00000004027
lepidothrix_coronata ENSLCOG00000013753
anolis_carolinensis ENSACAG00000011848
pogona_vitticeps ENSPVIG00000020558
notechis_scutatus ENSNSUG00000017516
salvator_merianae ENSSMRG00000016571
sphenodon_punctatus ENSSPUG00000011289
gopherus_agassizii ENSGAGG00000009725
chelonoidis_abingdonii ENSCABG00000008182
chrysemys_picta_bellii ENSCPBG00000018958
pelodiscus_sinensis ENSPSIG00000015639
gallus_gallus ENSGALG00000031328
meleagris_gallopavo ENSMGAG00000001905
apteryx_rowi ENSARWG00000009858
dromaius_novaehollandiae ENSDNVG00000007791
meleagris_gallopavo ENSMGAG00000006553
numida_meleagris ENSNMEG00000005153
anser_brachyrhynchus ENSABRG00000022495
cyanistes_caeruleus ENSCCEG00000000388
calidris_pugnax ENSCPUG00000008218
nothoprocta_perdicaria ENSNPEG00000011068
bison_bison_bison ENSBBBG00000018962
bos_mutus ENSBMUG00000014879
ovis_aries ENSOARG00000005985
panthera_tigris_altaica ENSPTIG00000009100
pan_troglodytes ENSPTRG00000006915
gorilla_gorilla ENSGGOG00000009967
homo_sapiens ENSG00000130669
nomascus_leucogenys ENSNLEG00000014517
colobus_angolensis_palliatus ENSCANG00000027428
piliocolobus_tephrosceles ENSPTEG00000038015
rhinopithecus_bieti ENSRBIG00000020114
rhinopithecus_roxellana ENSRROG00000040532
papio_anubis ENSPANG00000015374
theropithecus_gelada ENSTGEG00000002854
chlorocebus_sabaeus ENSCSAG00000003912
cercocebus_atys ENSCATG00000042065
mandrillus_leucophaeus ENSMLEG00000041856
macaca_mulatta ENSMMUG00000013140
macaca_fascicularis ENSMFAG00000026283
macaca_nemestrina ENSMNEG00000032618
cebus_capucinus_imitator ENSCCAG00000034689
saimiri_boliviensis_boliviensis ENSSBOG00000030518
callithrix_jacchus ENSCJAG00000014040
aotus_nancymaae ENSANAG00000033786
carlito_syrichta ENSTSYG00000025942
propithecus_coquereli ENSPCOG00000014081
prolemur_simus ENSPSMG00000023420
microcebus_murinus ENSMICG00000013952
otolemur_garnettii ENSOGAG00000012180
oryctolagus_cuniculus ENSOCUG00000011285
pongo_abelii ENSPPYG00000009955
pan_paniscus ENSPPAG00000037143
ochotona_princeps ENSOPRG00000006683
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030602
mus_spicilegus ENSMSIG00000000463
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029447
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0012683
rattus_norvegicus ENSRNOG00000019883
meriones_unguiculatus ENSMUGG00000023406
cricetulus_griseus_crigri-picr ENSCGRG00015025929
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016351
cricetulus_griseus_crigri_1.0 ENSCGRG00000007583
mesocricetus_auratus ENSMAUG00000020347
peromyscus_maniculatus_bairdii ENSPEMG00000019220
microtus_ochrogaster ENSMOCG00000009611
nannospalax_galili ENSNGAG00000016690
jaculus_jaculus ENSJJAG00000015294
dipodomys_ordii ENSDORG00000006722
castor_canadensis ENSCCNG00000011504
chinchilla_lanigera ENSCLAG00000014905
octodon_degus ENSODEG00000016224
cavia_porcellus ENSCPOG00000027079
cavia_aperea ENSCAPG00000013468
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019005
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017851
fukomys_damarensis ENSFDAG00000015524
pteropus_vampyrus ENSPVAG00000013726
myotis_lucifugus ENSMLUG00000002160
equus_asinus_asinus ENSEASG00005019744
equus_caballus ENSECAG00000017421
bos_taurus ENSBTAG00000013958
capra_hircus ENSCHIG00000015290
tursiops_truncatus ENSTTRG00000014963
sus_scrofa ENSSSCG00000021333
ailuropoda_melanoleuca ENSAMEG00000008649
ursus_americanus ENSUAMG00000002520
mustela_putorius_furo ENSMPUG00000017745
canis_lupus_dingo ENSCAFG00020016214
canis_lupus_familiaris ENSCAFG00000005606
vulpes_vulpes ENSVVUG00000006373
felis_catus ENSFCAG00000029229
panthera_pardus ENSPPRG00000009412
choloepus_hoffmanni ENSCHOG00000012276
dasypus_novemcinctus ENSDNOG00000046152
loxodonta_africana ENSLAFG00000005252
procavia_capensis ENSPCAG00000010973
marmota_marmota_marmota ENSMMMG00000000186
urocitellus_parryii ENSUPAG00010009510
spermophilus_dauricus ENSSDAG00000001868
ictidomys_tridecemlineatus ENSSTOG00000028802
tupaia_belangeri ENSTBEG00000013555
ursus_maritimus ENSUMAG00000019251
echinops_telfairi ENSETEG00000008968
notamacropus_eugenii ENSMEUG00000001949
phascolarctos_cinereus ENSPCIG00000010503
monodelphis_domestica ENSMODG00000013453
sarcophilus_harrisii ENSSHAG00000008400
kryptolebias_marmoratus ENSKMAG00000008529
gasterosteus_aculeatus ENSGACG00000012327
amphiprion_percula ENSAPEG00000016955
acanthochromis_polyacanthus ENSAPOG00000013944
neolamprologus_brichardi ENSNBRG00000016107
amphilophus_citrinellus ENSACIG00000008132
fundulus_heteroclitus ENSFHEG00000020298
cyprinodon_variegatus ENSCVAG00000019659
xiphophorus_maculatus ENSXMAG00000003196
xiphophorus_couchianus ENSXCOG00000009593
gambusia_affinis ENSGAFG00000004224
poecilia_mexicana ENSPMEG00000014190
poecilia_latipinna ENSPLAG00000015195
poecilia_formosa ENSPFOG00000017238
poecilia_reticulata ENSPREG00000019697
oryzias_latipes_asm223471v1 ENSORLG00020018996
oryzias_latipes_asm223467v1 ENSORLG00000001503
oryzias_latipes_asm223469v1 ENSORLG00015007744
oryzias_melastigma ENSOMEG00000023071
monopterus_albus ENSMALG00000006237
mastacembelus_armatus ENSMAMG00000016903
anabas_testudineus ENSATEG00000005072
seriola_lalandi_dorsalis ENSSLDG00000008609
seriola_dumerili ENSSDUG00000002720
scophthalmus_maximus ENSSMAG00000019623
takifugu_rubripes ENSTRUG00000008318
tetraodon_nigroviridis ENSTNIG00000006800
mola_mola ENSMMOG00000005182
labrus_bergylta ENSLBEG00000010883
periophthalmus_magnuspinnatus ENSPMGG00000019347
gadus_morhua ENSGMOG00000006194
esox_lucius ENSELUG00000017809
astyanax_mexicanus ENSAMXG00000008603
danio_rerio ENSDARG00000018110
paramormyrops_kingsleyae ENSPKIG00000007192
scleropages_formosus ENSSFOG00015006490
lepisosteus_oculatus ENSLOCG00000014365
xenopus_tropicalis ENSXETG00000005314
ictalurus_punctatus ENSIPUG00000019963
petromyzon_marinus ENSPMAG00000008567
petromyzon_marinus ENSPMAG00000007328
eptatretus_burgeri ENSEBUG00000001409
petromyzon_marinus ENSPMAG00000002170
eptatretus_burgeri ENSEBUG00000015148
