rhinopithecus_bieti ENSRBIG00000030338
rhinopithecus_roxellana ENSRROG00000034270
propithecus_coquereli ENSPCOG00000015615
oryctolagus_cuniculus ENSOCUG00000017330
ornithorhynchus_anatinus ENSOANG00000020064
xenopus_tropicalis ENSXETG00000012678
stegastes_partitus ENSSPAG00000006444
eptatretus_burgeri ENSEBUG00000008855
pygocentrus_nattereri ENSPNAG00000015897
pygocentrus_nattereri ENSPNAG00000016084
pygocentrus_nattereri ENSPNAG00000016502
ictalurus_punctatus ENSIPUG00000022200
danio_rerio ENSDARG00000044801
scleropages_formosus ENSSFOG00015014896
apteryx_rowi ENSARWG00000005599
eptatretus_burgeri ENSEBUG00000013067
drosophila_melanogaster FBgn0039673
