cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011823
cricetulus_griseus_crigri-picr ENSCGRG00015021410
cricetulus_griseus_crigri_1.0 ENSCGRG00000003484
mesocricetus_auratus ENSMAUG00000019513
peromyscus_maniculatus_bairdii ENSPEMG00000014359
microtus_ochrogaster ENSMOCG00000017985
meriones_unguiculatus ENSMUGG00000008337
nannospalax_galili ENSNGAG00000021249
jaculus_jaculus ENSJJAG00000009117
chinchilla_lanigera ENSCLAG00000015797
cavia_aperea ENSCAPG00000015799
octodon_degus ENSODEG00000007812
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018866
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015344
fukomys_damarensis ENSFDAG00000013519
urocitellus_parryii ENSUPAG00010005854
ictidomys_tridecemlineatus ENSSTOG00000032305
spermophilus_dauricus ENSSDAG00000006190
marmota_marmota_marmota ENSMMMG00000006724
castor_canadensis ENSCCNG00000001982
neovison_vison ENSNVIG00000006252
equus_asinus_asinus ENSEASG00005022407
bos_mutus ENSBMUG00000010872
bos_taurus ENSBTAG00000052348
bison_bison_bison ENSBBBG00000018480
