propithecus_coquereli ENSPCOG00000020930
prolemur_simus ENSPSMG00000000127
otolemur_garnettii ENSOGAG00000031773
piliocolobus_tephrosceles ENSPTEG00000024210
theropithecus_gelada ENSTGEG00000019868
pan_paniscus ENSPPAG00000041406
rhinopithecus_bieti ENSRBIG00000033084
rhinopithecus_roxellana ENSRROG00000029995
colobus_angolensis_palliatus ENSCANG00000030947
macaca_mulatta ENSMMUG00000018249
macaca_fascicularis ENSMFAG00000034127
macaca_nemestrina ENSMNEG00000041708
papio_anubis ENSPANG00000020553
cercocebus_atys ENSCATG00000038842
mandrillus_leucophaeus ENSMLEG00000035867
pan_paniscus ENSPPAG00000041827
pan_troglodytes ENSPTRG00000013558
homo_sapiens ENSG00000182931
pongo_abelii ENSPPYG00000011066
nomascus_leucogenys ENSNLEG00000006759
cebus_capucinus_imitator ENSCCAG00000021961
saimiri_boliviensis_boliviensis ENSSBOG00000033068
aotus_nancymaae ENSANAG00000031876
castor_canadensis ENSCCNG00000022970
ursus_americanus ENSUAMG00000010272
ursus_maritimus ENSUMAG00000025166
ailuropoda_melanoleuca ENSAMEG00000012499
mustela_putorius_furo ENSMPUG00000017623
neovison_vison ENSNVIG00000010332
canis_lupus_familiaris ENSCAFG00000009724
canis_lupus_dingo ENSCAFG00020013997
vulpes_vulpes ENSVVUG00000016174
panthera_pardus ENSPPRG00000020705
panthera_tigris_altaica ENSPTIG00000009615
felis_catus ENSFCAG00000028513
bos_taurus ENSBTAG00000030800
bos_mutus ENSBMUG00000004564
bison_bison_bison ENSBBBG00000001849
ovis_aries ENSOARG00000006196
loxodonta_africana ENSLAFG00000007741
dasypus_novemcinctus ENSDNOG00000033250
