panthera_pardus ENSPPRG00000006999
panthera_tigris_altaica ENSPTIG00000012743
felis_catus ENSFCAG00000039168
canis_lupus_dingo ENSCAFG00020012367
canis_lupus_familiaris ENSCAFG00000016093
bos_taurus ENSBTAG00000017946
bos_mutus ENSBMUG00000026772
bison_bison_bison ENSBBBG00000000110
capra_hircus ENSCHIG00000000311
ovis_aries ENSOARG00000000746
equus_asinus_asinus ENSEASG00005019488
equus_caballus ENSECAG00000026953
sorex_araneus ENSSARG00000001724
sus_scrofa ENSSSCG00000026339
tursiops_truncatus ENSTTRG00000008143
pteropus_vampyrus ENSPVAG00000016680
ursus_maritimus ENSUMAG00000014311
ursus_americanus ENSUAMG00000012462
ailuropoda_melanoleuca ENSAMEG00000010018
neovison_vison ENSNVIG00000024551
gorilla_gorilla ENSGGOG00000015764
homo_sapiens ENSG00000188100
pan_troglodytes ENSPTRG00000029846
homo_sapiens ENSG00000276430
homo_sapiens ENSG00000189090
pan_troglodytes ENSPTRG00000046441
pongo_abelii ENSPPYG00000002237
nomascus_leucogenys ENSNLEG00000011224
pongo_abelii ENSPPYG00000002826
theropithecus_gelada ENSTGEG00000014721
macaca_nemestrina ENSMNEG00000041640
macaca_fascicularis ENSMFAG00000041417
macaca_mulatta ENSMMUG00000016159
papio_anubis ENSPANG00000029188
mandrillus_leucophaeus ENSMLEG00000032023
rhinopithecus_bieti ENSRBIG00000009422
rhinopithecus_roxellana ENSRROG00000012948
colobus_angolensis_palliatus ENSCANG00000018940
colobus_angolensis_palliatus ENSCANG00000023464
mandrillus_leucophaeus ENSMLEG00000030160
cercocebus_atys ENSCATG00000032173
papio_anubis ENSPANG00000022640
macaca_nemestrina ENSMNEG00000034700
theropithecus_gelada ENSTGEG00000014178
rhinopithecus_roxellana ENSRROG00000029006
rhinopithecus_roxellana ENSRROG00000037082
piliocolobus_tephrosceles ENSPTEG00000019799
macaca_mulatta ENSMMUG00000042562
macaca_fascicularis ENSMFAG00000043901
papio_anubis ENSPANG00000022670
chlorocebus_sabaeus ENSCSAG00000009940
chlorocebus_sabaeus ENSCSAG00000009720
pan_troglodytes ENSPTRG00000045277
pan_troglodytes ENSPTRG00000046884
pan_paniscus ENSPPAG00000025194
nomascus_leucogenys ENSNLEG00000016053
piliocolobus_tephrosceles ENSPTEG00000004000
cebus_capucinus_imitator ENSCCAG00000026182
callithrix_jacchus ENSCJAG00000011628
saimiri_boliviensis_boliviensis ENSSBOG00000020302
aotus_nancymaae ENSANAG00000032627
rhinopithecus_roxellana ENSRROG00000029355
carlito_syrichta ENSTSYG00000035498
jaculus_jaculus ENSJJAG00000015524
nannospalax_galili ENSNGAG00000000481
castor_canadensis ENSCCNG00000031678
peromyscus_maniculatus_bairdii ENSPEMG00000011914
meriones_unguiculatus ENSMUGG00000013676
cricetulus_griseus_crigri_1.0 ENSCGRG00000014057
cricetulus_griseus_crigri-picr ENSCGRG00015018771
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014971
mesocricetus_auratus ENSMAUG00000015381
microtus_ochrogaster ENSMOCG00000014277
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043681
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019118
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020004
mus_spicilegus ENSMSIG00000028614
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030135
rattus_norvegicus ENSRNOG00000055025
cavia_aperea ENSCAPG00000006346
cavia_porcellus ENSCPOG00000019581
chinchilla_lanigera ENSCLAG00000000921
octodon_degus ENSODEG00000012123
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000096
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007309
dipodomys_ordii ENSDORG00000009766
spermophilus_dauricus ENSSDAG00000015705
spermophilus_dauricus ENSSDAG00000015697
marmota_marmota_marmota ENSMMMG00000012011
spermophilus_dauricus ENSSDAG00000015718
ictidomys_tridecemlineatus ENSSTOG00000005380
oryctolagus_cuniculus ENSOCUG00000016943
ochotona_princeps ENSOPRG00000007689
loxodonta_africana ENSLAFG00000011199
echinops_telfairi ENSETEG00000004691
procavia_capensis ENSPCAG00000014812
dasypus_novemcinctus ENSDNOG00000005224
propithecus_coquereli ENSPCOG00000015367
microcebus_murinus ENSMICG00000045585
prolemur_simus ENSPSMG00000008172
sarcophilus_harrisii ENSSHAG00000009764
monodelphis_domestica ENSMODG00000002759
phascolarctos_cinereus ENSPCIG00000007973
ornithorhynchus_anatinus ENSOANG00000021407
