cavia_porcellus ENSCPOG00000023797
cavia_aperea ENSCAPG00000003909
chinchilla_lanigera ENSCLAG00000013985
octodon_degus ENSODEG00000012150
fukomys_damarensis ENSFDAG00000000181
fukomys_damarensis ENSFDAG00000009993
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019110
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016149
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011815
ictidomys_tridecemlineatus ENSSTOG00000028169
urocitellus_parryii ENSUPAG00010008405
spermophilus_dauricus ENSSDAG00000002388
marmota_marmota_marmota ENSMMMG00000013124
cricetulus_griseus_crigri-picr ENSCGRG00015025422
peromyscus_maniculatus_bairdii ENSPEMG00000030133
microtus_ochrogaster ENSMOCG00000012186
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000046367
mus_spicilegus ENSMSIG00000017668
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015432
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027861
rattus_norvegicus ENSRNOG00000039568
meriones_unguiculatus ENSMUGG00000005132
oryctolagus_cuniculus ENSOCUG00000008022
prolemur_simus ENSPSMG00000002617
microcebus_murinus ENSMICG00000035809
otolemur_garnettii ENSOGAG00000030995
rhinopithecus_bieti ENSRBIG00000030579
piliocolobus_tephrosceles ENSPTEG00000029562
macaca_mulatta ENSMMUG00000015234
theropithecus_gelada ENSTGEG00000018569
ursus_americanus ENSUAMG00000010922
ursus_maritimus ENSUMAG00000005397
ailuropoda_melanoleuca ENSAMEG00000012138
neovison_vison ENSNVIG00000015444
mustela_putorius_furo ENSMPUG00000011196
canis_lupus_familiaris ENSCAFG00000030988
canis_lupus_dingo ENSCAFG00020015038
vulpes_vulpes ENSVVUG00000006630
panthera_tigris_altaica ENSPTIG00000016371
panthera_pardus ENSPPRG00000023144
felis_catus ENSFCAG00000027194
equus_caballus ENSECAG00000005576
equus_asinus_asinus ENSEASG00005019686
bison_bison_bison ENSBBBG00000009250
bos_mutus ENSBMUG00000005276
bos_taurus ENSBTAG00000016189
ovis_aries ENSOARG00000018372
sus_scrofa ENSSSCG00000021179
myotis_lucifugus ENSMLUG00000017330
erinaceus_europaeus ENSEEUG00000009203
loxodonta_africana ENSLAFG00000018012
dasypus_novemcinctus ENSDNOG00000045214
