maylandia_zebra ENSMZEG00005018058
haplochromis_burtoni ENSHBUG00000014294
amphilophus_citrinellus ENSACIG00000008332
cyprinodon_variegatus ENSCVAG00000001653
fundulus_heteroclitus ENSFHEG00000023316
poecilia_mexicana ENSPMEG00000000367
poecilia_formosa ENSPFOG00000019546
poecilia_latipinna ENSPLAG00000023066
poecilia_reticulata ENSPREG00000004749
xiphophorus_maculatus ENSXMAG00000028878
xiphophorus_couchianus ENSXCOG00000004381
gambusia_affinis ENSGAFG00000012419
kryptolebias_marmoratus ENSKMAG00000008764
amphiprion_ocellaris ENSAOCG00000021555
amphiprion_percula ENSAPEG00000015817
acanthochromis_polyacanthus ENSAPOG00000001461
stegastes_partitus ENSSPAG00000003525
seriola_dumerili ENSSDUG00000019585
seriola_lalandi_dorsalis ENSSLDG00000019984
scophthalmus_maximus ENSSMAG00000016566
monopterus_albus ENSMALG00000001648
mastacembelus_armatus ENSMAMG00000007481
labrus_bergylta ENSLBEG00000014729
danio_rerio ENSDARG00000045914
paramormyrops_kingsleyae ENSPKIG00000006733
lepisosteus_oculatus ENSLOCG00000017238
