periophthalmus_magnuspinnatus ENSPMGG00000004127
cynoglossus_semilaevis ENSCSEG00000012392
tetraodon_nigroviridis ENSTNIG00000002589
takifugu_rubripes ENSTRUG00000007057
mastacembelus_armatus ENSMAMG00000004803
monopterus_albus ENSMALG00000009163
amphilophus_citrinellus ENSACIG00000022831
mola_mola ENSMMOG00000020303
poecilia_formosa ENSPFOG00000008870
poecilia_mexicana ENSPMEG00000008601
poecilia_latipinna ENSPLAG00000009889
poecilia_reticulata ENSPREG00000004505
xiphophorus_maculatus ENSXMAG00000018315
xiphophorus_couchianus ENSXCOG00000004658
gambusia_affinis ENSGAFG00000011586
fundulus_heteroclitus ENSFHEG00000004263
amphiprion_ocellaris ENSAOCG00000019401
amphiprion_percula ENSAPEG00000001977
acanthochromis_polyacanthus ENSAPOG00000011314
stegastes_partitus ENSSPAG00000002354
kryptolebias_marmoratus ENSKMAG00000007707
cyprinodon_variegatus ENSCVAG00000010395
oryzias_latipes_asm223467v1 ENSORLG00000010027
oryzias_latipes_asm223471v1 ENSORLG00020001878
oryzias_latipes_asm223469v1 ENSORLG00015021866
oryzias_melastigma ENSOMEG00000020952
haplochromis_burtoni ENSHBUG00000005678
pundamilia_nyererei ENSPNYG00000009717
maylandia_zebra ENSMZEG00005027528
astatotilapia_calliptera ENSACLG00000015866
neolamprologus_brichardi ENSNBRG00000006000
oreochromis_niloticus ENSONIG00000011768
hippocampus_comes ENSHCOG00000021127
labrus_bergylta ENSLBEG00000021122
labrus_bergylta ENSLBEG00000018690
seriola_dumerili ENSSDUG00000018586
seriola_lalandi_dorsalis ENSSLDG00000010476
anabas_testudineus ENSATEG00000013877
gasterosteus_aculeatus ENSGACG00000004181
gadus_morhua ENSGMOG00000011391
scophthalmus_maximus ENSSMAG00000002441
esox_lucius ENSELUG00000003395
pygocentrus_nattereri ENSPNAG00000008544
astyanax_mexicanus ENSAMXG00000032669
ictalurus_punctatus ENSIPUG00000001420
danio_rerio ENSDARG00000098367
paramormyrops_kingsleyae ENSPKIG00000001953
scleropages_formosus ENSSFOG00015013920
lepisosteus_oculatus ENSLOCG00000009440
gopherus_agassizii ENSGAGG00000014766
chelonoidis_abingdonii ENSCABG00000021747
chrysemys_picta_bellii ENSCPBG00000026195
pelodiscus_sinensis ENSPSIG00000006476
manacus_vitellinus ENSMVIG00005002354
lepidothrix_coronata ENSLCOG00000015783
parus_major ENSPMJG00000016660
cyanistes_caeruleus ENSCCEG00000019550
taeniopygia_guttata ENSTGUG00000013777
taeniopygia_guttata ENSTGUG00000011945
lonchura_striata_domestica ENSLSDG00000002424
serinus_canaria ENSSCAG00000010479
zonotrichia_albicollis ENSZALG00000002614
junco_hyemalis ENSJHYG00000010388
ficedula_albicollis ENSFALG00000005995
melopsittacus_undulatus ENSMUNG00000011666
calidris_pugnax ENSCPUG00000002551
calidris_pygmaea ENSCPGG00000005447
anser_brachyrhynchus ENSABRG00000015711
anas_platyrhynchos_platyrhynchos ENSAPLG00000010125
gallus_gallus ENSGALG00000023135
meleagris_gallopavo ENSMGAG00000012481
coturnix_japonica ENSCJPG00005017701
numida_meleagris ENSNMEG00000022312
apteryx_owenii ENSAOWG00000005413
apteryx_haastii ENSAHAG00000014816
apteryx_rowi ENSARWG00000011057
dromaius_novaehollandiae ENSDNVG00000011220
nothoprocta_perdicaria ENSNPEG00000006142
crocodylus_porosus ENSCPRG00005003625
anolis_carolinensis ENSACAG00000002103
anolis_carolinensis ENSACAG00000010631
anolis_carolinensis ENSACAG00000001124
pogona_vitticeps ENSPVIG00000006841
notechis_scutatus ENSNSUG00000003651
salvator_merianae ENSSMRG00000012796
sphenodon_punctatus ENSSPUG00000013101
phascolarctos_cinereus ENSPCIG00000016175
notamacropus_eugenii ENSMEUG00000000138
monodelphis_domestica ENSMODG00000012925
monodelphis_domestica ENSMODG00000023150
sarcophilus_harrisii ENSSHAG00000000671
ornithorhynchus_anatinus ENSOANG00000014051
prolemur_simus ENSPSMG00000019076
otolemur_garnettii ENSOGAG00000012188
pan_troglodytes ENSPTRG00000006259
pan_paniscus ENSPPAG00000017434
homo_sapiens ENSG00000100883
gorilla_gorilla ENSGGOG00000002926
pongo_abelii ENSPPYG00000005739
chlorocebus_sabaeus ENSCSAG00000015575
theropithecus_gelada ENSTGEG00000002377
piliocolobus_tephrosceles ENSPTEG00000025830
cebus_capucinus_imitator ENSCCAG00000024179
colobus_angolensis_palliatus ENSCANG00000028532
rhinopithecus_roxellana ENSRROG00000041292
macaca_fascicularis ENSMFAG00000044371
macaca_mulatta ENSMMUG00000015073
macaca_nemestrina ENSMNEG00000006947
cercocebus_atys ENSCATG00000034083
mandrillus_leucophaeus ENSMLEG00000042251
papio_anubis ENSPANG00000023853
nomascus_leucogenys ENSNLEG00000003496
callithrix_jacchus ENSCJAG00000006581
saimiri_boliviensis_boliviensis ENSSBOG00000035145
aotus_nancymaae ENSANAG00000022133
carlito_syrichta ENSTSYG00000002680
propithecus_coquereli ENSPCOG00000022473
microcebus_murinus ENSMICG00000010270
carlito_syrichta ENSTSYG00000035333
tupaia_belangeri ENSTBEG00000011409
chinchilla_lanigera ENSCLAG00000015076
octodon_degus ENSODEG00000004865
cavia_porcellus ENSCPOG00000003691
cavia_aperea ENSCAPG00000008780
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005263
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002850
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100007281
fukomys_damarensis ENSFDAG00000016767
spermophilus_dauricus ENSSDAG00000012120
marmota_marmota_marmota ENSMMMG00000006580
urocitellus_parryii ENSUPAG00010001653
ictidomys_tridecemlineatus ENSSTOG00000016023
castor_canadensis ENSCCNG00000008822
dipodomys_ordii ENSDORG00000005159
jaculus_jaculus ENSJJAG00000013417
jaculus_jaculus ENSJJAG00000016404
nannospalax_galili ENSNGAG00000019806
oryctolagus_cuniculus ENSOCUG00000007838
pteropus_vampyrus ENSPVAG00000010056
ursus_maritimus ENSUMAG00000011234
ursus_americanus ENSUAMG00000012385
ailuropoda_melanoleuca ENSAMEG00000015544
mustela_putorius_furo ENSMPUG00000016302
neovison_vison ENSNVIG00000002461
