myotis_lucifugus ENSMLUG00000010867
pteropus_vampyrus ENSPVAG00000008833
bos_mutus ENSBMUG00000003666
bos_taurus ENSBTAG00000014533
bison_bison_bison ENSBBBG00000000842
ovis_aries ENSOARG00000017308
capra_hircus ENSCHIG00000023858
tursiops_truncatus ENSTTRG00000007843
sus_scrofa ENSSSCG00000016472
vicugna_pacos ENSVPAG00000010816
ursus_maritimus ENSUMAG00000011921
ursus_americanus ENSUAMG00000012836
ailuropoda_melanoleuca ENSAMEG00000006509
neovison_vison ENSNVIG00000019292
mustela_putorius_furo ENSMPUG00000008391
canis_lupus_familiaris ENSCAFG00000003658
canis_lupus_dingo ENSCAFG00020020797
vulpes_vulpes ENSVVUG00000027574
panthera_pardus ENSPPRG00000024941
panthera_tigris_altaica ENSPTIG00000008152
felis_catus ENSFCAG00000014937
equus_caballus ENSECAG00000010525
equus_asinus_asinus ENSEASG00005009253
erinaceus_europaeus ENSEEUG00000008727
pan_troglodytes ENSPTRG00000048557
pan_troglodytes ENSPTRG00000024026
pan_paniscus ENSPPAG00000008525
homo_sapiens ENSG00000197993
gorilla_gorilla ENSGGOG00000007998
pongo_abelii ENSPPYG00000018107
nomascus_leucogenys ENSNLEG00000002907
theropithecus_gelada ENSTGEG00000000319
papio_anubis ENSPANG00000021000
mandrillus_leucophaeus ENSMLEG00000037505
cercocebus_atys ENSCATG00000027759
chlorocebus_sabaeus ENSCSAG00000007359
macaca_fascicularis ENSMFAG00000042436
macaca_mulatta ENSMMUG00000006571
macaca_nemestrina ENSMNEG00000037822
colobus_angolensis_palliatus ENSCANG00000040375
piliocolobus_tephrosceles ENSPTEG00000032741
rhinopithecus_bieti ENSRBIG00000039555
rhinopithecus_roxellana ENSRROG00000028882
cebus_capucinus_imitator ENSCCAG00000001187
callithrix_jacchus ENSCJAG00000009471
saimiri_boliviensis_boliviensis ENSSBOG00000024730
aotus_nancymaae ENSANAG00000022139
carlito_syrichta ENSTSYG00000000800
propithecus_coquereli ENSPCOG00000013311
prolemur_simus ENSPSMG00000000296
microcebus_murinus ENSMICG00000007416
otolemur_garnettii ENSOGAG00000013549
tupaia_belangeri ENSTBEG00000013078
castor_canadensis ENSCCNG00000018903
dipodomys_ordii ENSDORG00000008641
mus_spicilegus ENSMSIG00000003133
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029283
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029866
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028278
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022035
rattus_norvegicus ENSRNOG00000015682
meriones_unguiculatus ENSMUGG00000022213
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001002422
cricetulus_griseus_crigri-picr ENSCGRG00015023493
cricetulus_griseus_crigri_1.0 ENSCGRG00000015103
mesocricetus_auratus ENSMAUG00000011935
microtus_ochrogaster ENSMOCG00000007596
peromyscus_maniculatus_bairdii ENSPEMG00000010900
nannospalax_galili ENSNGAG00000021210
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004519
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015502
fukomys_damarensis ENSFDAG00000015907
cavia_porcellus ENSCPOG00000023647
octodon_degus ENSODEG00000014311
chinchilla_lanigera ENSCLAG00000001601
urocitellus_parryii ENSUPAG00010009971
ictidomys_tridecemlineatus ENSSTOG00000008372
spermophilus_dauricus ENSSDAG00000006926
marmota_marmota_marmota ENSMMMG00000008126
oryctolagus_cuniculus ENSOCUG00000007569
ochotona_princeps ENSOPRG00000005596
dasypus_novemcinctus ENSDNOG00000016155
loxodonta_africana ENSLAFG00000032673
procavia_capensis ENSPCAG00000005126
echinops_telfairi ENSETEG00000001847
notamacropus_eugenii ENSMEUG00000015765
phascolarctos_cinereus ENSPCIG00000015576
sarcophilus_harrisii ENSSHAG00000000121
monodelphis_domestica ENSMODG00000001067
ornithorhynchus_anatinus ENSOANG00000030443
ornithorhynchus_anatinus ENSOANG00000022635
cynoglossus_semilaevis ENSCSEG00000020138
