marmota_marmota_marmota ENSMMMG00000017557
urocitellus_parryii ENSUPAG00010002702
mesocricetus_auratus ENSMAUG00000020449
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016986
peromyscus_maniculatus_bairdii ENSPEMG00000020964
microtus_ochrogaster ENSMOCG00000014753
mus_spicilegus ENSMSIG00000031260
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047129
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016516
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015698
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031387
rattus_norvegicus ENSRNOG00000038943
oryctolagus_cuniculus ENSOCUG00000027086
ochotona_princeps ENSOPRG00000007884
tupaia_belangeri ENSTBEG00000012083
propithecus_coquereli ENSPCOG00000001730
prolemur_simus ENSPSMG00000012371
microcebus_murinus ENSMICG00000001972
otolemur_garnettii ENSOGAG00000034668
pan_troglodytes ENSPTRG00000005367
pan_paniscus ENSPPAG00000043418
homo_sapiens ENSG00000179088
gorilla_gorilla ENSGGOG00000006554
nomascus_leucogenys ENSNLEG00000006413
colobus_angolensis_palliatus ENSCANG00000043355
piliocolobus_tephrosceles ENSPTEG00000013461
rhinopithecus_roxellana ENSRROG00000045166
rhinopithecus_bieti ENSRBIG00000031878
macaca_fascicularis ENSMFAG00000045014
macaca_mulatta ENSMMUG00000046226
macaca_nemestrina ENSMNEG00000028925
papio_anubis ENSPANG00000022132
theropithecus_gelada ENSTGEG00000009039
cercocebus_atys ENSCATG00000041444
mandrillus_leucophaeus ENSMLEG00000034974
chlorocebus_sabaeus ENSCSAG00000003284
saimiri_boliviensis_boliviensis ENSSBOG00000021155
callithrix_jacchus ENSCJAG00000014347
cebus_capucinus_imitator ENSCCAG00000027547
aotus_nancymaae ENSANAG00000019362
tursiops_truncatus ENSTTRG00000009237
ovis_aries ENSOARG00000015894
vicugna_pacos ENSVPAG00000002019
erinaceus_europaeus ENSEEUG00000013341
ursus_americanus ENSUAMG00000005690
ursus_maritimus ENSUMAG00000019174
mustela_putorius_furo ENSMPUG00000011991
equus_asinus_asinus ENSEASG00005020173
equus_caballus ENSECAG00000013099
pteropus_vampyrus ENSPVAG00000015481
loxodonta_africana ENSLAFG00000021652
procavia_capensis ENSPCAG00000012376
echinops_telfairi ENSETEG00000016837
choloepus_hoffmanni ENSCHOG00000006818
