gorilla_gorilla ENSGGOG00000009149
homo_sapiens ENSG00000141574
pan_paniscus ENSPPAG00000036379
pan_troglodytes ENSPTRG00000009799
nomascus_leucogenys ENSNLEG00000031948
rhinopithecus_bieti ENSRBIG00000028523
rhinopithecus_roxellana ENSRROG00000035454
colobus_angolensis_palliatus ENSCANG00000043107
piliocolobus_tephrosceles ENSPTEG00000029618
cercocebus_atys ENSCATG00000041695
theropithecus_gelada ENSTGEG00000012152
papio_anubis ENSPANG00000018806
macaca_mulatta ENSMMUG00000016897
macaca_fascicularis ENSMFAG00000046114
macaca_nemestrina ENSMNEG00000029821
mandrillus_leucophaeus ENSMLEG00000033642
chlorocebus_sabaeus ENSCSAG00000002122
cebus_capucinus_imitator ENSCCAG00000033495
saimiri_boliviensis_boliviensis ENSSBOG00000031358
callithrix_jacchus ENSCJAG00000017974
carlito_syrichta ENSTSYG00000011950
castor_canadensis ENSCCNG00000010311
castor_canadensis ENSCCNG00000010314
dipodomys_ordii ENSDORG00000025751
chinchilla_lanigera ENSCLAG00000011256
octodon_degus ENSODEG00000007569
cavia_aperea ENSCAPG00000010930
cavia_porcellus ENSCPOG00000039282
urocitellus_parryii ENSUPAG00010003085
urocitellus_parryii ENSUPAG00010017091
ictidomys_tridecemlineatus ENSSTOG00000021446
spermophilus_dauricus ENSSDAG00000017885
marmota_marmota_marmota ENSMMMG00000003176
mus_spicilegus ENSMSIG00000011786
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018397
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025165
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017553
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018680
rattus_norvegicus ENSRNOG00000036672
meriones_unguiculatus ENSMUGG00000019043
cricetulus_griseus_crigri_1.0 ENSCGRG00000016219
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011890
cricetulus_griseus_crigri-picr ENSCGRG00015024405
mesocricetus_auratus ENSMAUG00000000972
microtus_ochrogaster ENSMOCG00000017263
peromyscus_maniculatus_bairdii ENSPEMG00000010224
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001024244
cricetulus_griseus_crigri_1.0 ENSCGRG00000015668
cricetulus_griseus_crigri-picr ENSCGRG00015024432
mesocricetus_auratus ENSMAUG00000021160
peromyscus_maniculatus_bairdii ENSPEMG00000016435
microtus_ochrogaster ENSMOCG00000020576
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039364
mus_spicilegus ENSMSIG00000011829
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018396
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017552
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018679
rattus_norvegicus ENSRNOG00000036673
meriones_unguiculatus ENSMUGG00000019057
nannospalax_galili ENSNGAG00000000052
equus_asinus_asinus ENSEASG00005005905
equus_caballus ENSECAG00000006109
pteropus_vampyrus ENSPVAG00000009048
capra_hircus ENSCHIG00000007906
ovis_aries ENSOARG00000016748
bos_taurus ENSBTAG00000050786
bos_mutus ENSBMUG00000008508
bison_bison_bison ENSBBBG00000000955
capra_hircus ENSCHIG00000020373
capra_hircus ENSCHIG00000025339
bos_taurus ENSBTAG00000039765
bos_mutus ENSBMUG00000001790
bison_bison_bison ENSBBBG00000001033
bison_bison_bison ENSBBBG00000000971
bos_mutus ENSBMUG00000005954
bos_taurus ENSBTAG00000040323
bos_taurus ENSBTAG00000024915
bos_mutus ENSBMUG00000015022
bison_bison_bison ENSBBBG00000001021
bos_taurus ENSBTAG00000038910
bison_bison_bison ENSBBBG00000001008
bison_bison_bison ENSBBBG00000000995
bos_taurus ENSBTAG00000024934
bos_mutus ENSBMUG00000013649
ovis_aries ENSOARG00000016726
capra_hircus ENSCHIG00000014871
sus_scrofa ENSSSCG00000039807
ursus_americanus ENSUAMG00000011607
ursus_maritimus ENSUMAG00000017695
ailuropoda_melanoleuca ENSAMEG00000015620
neovison_vison ENSNVIG00000017377
mustela_putorius_furo ENSMPUG00000011111
canis_lupus_dingo ENSCAFG00020013657
vulpes_vulpes ENSVVUG00000005369
dasypus_novemcinctus ENSDNOG00000042978
