heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010279
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014273
fukomys_damarensis ENSFDAG00000008905
chinchilla_lanigera ENSCLAG00000005356
octodon_degus ENSODEG00000006673
cavia_porcellus ENSCPOG00000039855
cavia_aperea ENSCAPG00000008975
castor_canadensis ENSCCNG00000020271
peromyscus_maniculatus_bairdii ENSPEMG00000008531
microtus_ochrogaster ENSMOCG00000002098
cricetulus_griseus_crigri_1.0 ENSCGRG00000000831
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001008916
cricetulus_griseus_crigri-picr ENSCGRG00015026764
mesocricetus_auratus ENSMAUG00000003298
mus_spicilegus ENSMSIG00000020043
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040339
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026495
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025545
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026991
rattus_norvegicus ENSRNOG00000027540
meriones_unguiculatus ENSMUGG00000024293
nannospalax_galili ENSNGAG00000000645
urocitellus_parryii ENSUPAG00010015043
ictidomys_tridecemlineatus ENSSTOG00000026344
spermophilus_dauricus ENSSDAG00000013861
oryctolagus_cuniculus ENSOCUG00000006777
ochotona_princeps ENSOPRG00000015237
pan_paniscus ENSPPAG00000036362
pan_troglodytes ENSPTRG00000001030
homo_sapiens ENSG00000162636
gorilla_gorilla ENSGGOG00000009124
pongo_abelii ENSPPYG00000001094
nomascus_leucogenys ENSNLEG00000001561
mandrillus_leucophaeus ENSMLEG00000033131
chlorocebus_sabaeus ENSCSAG00000001529
papio_anubis ENSPANG00000012748
theropithecus_gelada ENSTGEG00000000268
cercocebus_atys ENSCATG00000029312
macaca_nemestrina ENSMNEG00000037125
macaca_fascicularis ENSMFAG00000039642
macaca_mulatta ENSMMUG00000009429
rhinopithecus_bieti ENSRBIG00000043736
rhinopithecus_roxellana ENSRROG00000041948
colobus_angolensis_palliatus ENSCANG00000030282
piliocolobus_tephrosceles ENSPTEG00000008890
saimiri_boliviensis_boliviensis ENSSBOG00000023316
cebus_capucinus_imitator ENSCCAG00000033441
callithrix_jacchus ENSCJAG00000002480
aotus_nancymaae ENSANAG00000023168
carlito_syrichta ENSTSYG00000025945
prolemur_simus ENSPSMG00000020573
microcebus_murinus ENSMICG00000030423
propithecus_coquereli ENSPCOG00000001083
otolemur_garnettii ENSOGAG00000013438
tupaia_belangeri ENSTBEG00000016652
jaculus_jaculus ENSJJAG00000010928
pteropus_vampyrus ENSPVAG00000009043
myotis_lucifugus ENSMLUG00000000526
sorex_araneus ENSSARG00000005503
equus_caballus ENSECAG00000008071
equus_asinus_asinus ENSEASG00005022635
neovison_vison ENSNVIG00000014508
mustela_putorius_furo ENSMPUG00000000103
canis_lupus_dingo ENSCAFG00020011034
canis_lupus_familiaris ENSCAFG00000019935
vulpes_vulpes ENSVVUG00000000658
ursus_americanus ENSUAMG00000023823
ursus_maritimus ENSUMAG00000012576
ailuropoda_melanoleuca ENSAMEG00000004346
panthera_tigris_altaica ENSPTIG00000011887
panthera_pardus ENSPPRG00000002706
felis_catus ENSFCAG00000027847
bos_mutus ENSBMUG00000004365
bos_taurus ENSBTAG00000005439
bison_bison_bison ENSBBBG00000001464
ovis_aries ENSOARG00000018862
capra_hircus ENSCHIG00000018010
sus_scrofa ENSSSCG00000006850
