canis_lupus_dingo ENSCAFG00020012548
vulpes_vulpes ENSVVUG00000029653
neovison_vison ENSNVIG00000008975
ursus_americanus ENSUAMG00000016545
ursus_maritimus ENSUMAG00000024906
ailuropoda_melanoleuca ENSAMEG00000012715
panthera_pardus ENSPPRG00000009632
panthera_tigris_altaica ENSPTIG00000010282
felis_catus ENSFCAG00000041411
pteropus_vampyrus ENSPVAG00000012936
myotis_lucifugus ENSMLUG00000030566
equus_caballus ENSECAG00000039851
equus_asinus_asinus ENSEASG00005022336
capra_hircus ENSCHIG00000014536
ovis_aries ENSOARG00000006437
bos_taurus ENSBTAG00000049070
bos_mutus ENSBMUG00000008642
bison_bison_bison ENSBBBG00000005707
sus_scrofa ENSSSCG00000034077
vicugna_pacos ENSVPAG00000001890
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001015775
cricetulus_griseus_crigri_1.0 ENSCGRG00000002495
mesocricetus_auratus ENSMAUG00000010237
microtus_ochrogaster ENSMOCG00000014814
meriones_unguiculatus ENSMUGG00000002915
jaculus_jaculus ENSJJAG00000001005
castor_canadensis ENSCCNG00000014108
marmota_marmota_marmota ENSMMMG00000023498
ictidomys_tridecemlineatus ENSSTOG00000012835
spermophilus_dauricus ENSSDAG00000009283
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000000054
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100002415
fukomys_damarensis ENSFDAG00000013221
ochotona_princeps ENSOPRG00000002933
nomascus_leucogenys ENSNLEG00000000404
nomascus_leucogenys ENSNLEG00000036161
homo_sapiens ENSG00000186579
homo_sapiens ENSG00000187082
gorilla_gorilla ENSGGOG00000003644
pan_troglodytes ENSPTRG00000019961
pongo_abelii ENSPPYG00000018334
rhinopithecus_roxellana ENSRROG00000041622
rhinopithecus_bieti ENSRBIG00000040534
colobus_angolensis_palliatus ENSCANG00000042375
piliocolobus_tephrosceles ENSPTEG00000033582
theropithecus_gelada ENSTGEG00000014451
papio_anubis ENSPANG00000011990
macaca_nemestrina ENSMNEG00000021129
macaca_fascicularis ENSMFAG00000000123
mandrillus_leucophaeus ENSMLEG00000030380
cercocebus_atys ENSCATG00000030787
chlorocebus_sabaeus ENSCSAG00000016970
saimiri_boliviensis_boliviensis ENSSBOG00000019558
cebus_capucinus_imitator ENSCCAG00000026326
callithrix_jacchus ENSCJAG00000003909
aotus_nancymaae ENSANAG00000029375
propithecus_coquereli ENSPCOG00000015499
prolemur_simus ENSPSMG00000004242
microcebus_murinus ENSMICG00000012410
dasypus_novemcinctus ENSDNOG00000019069
