sus_scrofa ENSSSCG00000036460
vicugna_pacos ENSVPAG00000012132
capra_hircus ENSCHIG00000008615
ovis_aries ENSOARG00000012631
bos_taurus ENSBTAG00000046711
bos_mutus ENSBMUG00000011820
myotis_lucifugus ENSMLUG00000015666
equus_caballus ENSECAG00000032228
erinaceus_europaeus ENSEEUG00000014528
ailuropoda_melanoleuca ENSAMEG00000008748
neovison_vison ENSNVIG00000004413
canis_lupus_dingo ENSCAFG00020012997
vulpes_vulpes ENSVVUG00000029343
felis_catus ENSFCAG00000010863
aotus_nancymaae ENSANAG00000036019
saimiri_boliviensis_boliviensis ENSSBOG00000031354
rhinopithecus_roxellana ENSRROG00000031441
rhinopithecus_bieti ENSRBIG00000006289
piliocolobus_tephrosceles ENSPTEG00000008503
colobus_angolensis_palliatus ENSCANG00000018162
macaca_mulatta ENSMMUG00000038276
macaca_nemestrina ENSMNEG00000036563
macaca_fascicularis ENSMFAG00000035902
theropithecus_gelada ENSTGEG00000000301
cercocebus_atys ENSCATG00000031101
homo_sapiens ENSG00000180872
gorilla_gorilla ENSGGOG00000025282
pan_troglodytes ENSPTRG00000018267
pan_paniscus ENSPPAG00000036979
pongo_abelii ENSPPYG00000016698
otolemur_garnettii ENSOGAG00000016646
loxodonta_africana ENSLAFG00000016703
