parus_major ENSPMJG00000019069
cyanistes_caeruleus ENSCCEG00000006877
serinus_canaria ENSSCAG00000007381
junco_hyemalis ENSJHYG00000006950
lepidothrix_coronata ENSLCOG00000011012
manacus_vitellinus ENSMVIG00005011106
melopsittacus_undulatus ENSMUNG00000002178
ficedula_albicollis ENSFALG00000006391
calidris_pygmaea ENSCPGG00000007501
calidris_pugnax ENSCPUG00000020028
meleagris_gallopavo ENSMGAG00000005433
gallus_gallus ENSGALG00000030512
numida_meleagris ENSNMEG00000015706
anas_platyrhynchos_platyrhynchos ENSAPLG00000027043
anser_brachyrhynchus ENSABRG00000011696
apteryx_owenii ENSAOWG00000007576
apteryx_rowi ENSARWG00000014170
dromaius_novaehollandiae ENSDNVG00000007966
chrysemys_picta_bellii ENSCPBG00000020284
anolis_carolinensis ENSACAG00000013703
pogona_vitticeps ENSPVIG00000017156
salvator_merianae ENSSMRG00000013226
phascolarctos_cinereus ENSPCIG00000035415
latimeria_chalumnae ENSLACG00000002912
scleropages_formosus ENSSFOG00015000980
paramormyrops_kingsleyae ENSPKIG00000006672
oryzias_latipes_asm223467v1 ENSORLG00000026777
oryzias_latipes_asm223471v1 ENSORLG00020010067
oryzias_latipes_asm223469v1 ENSORLG00015014863
oryzias_melastigma ENSOMEG00000003598
xiphophorus_couchianus ENSXCOG00000009535
amphiprion_percula ENSAPEG00000010427
amphiprion_ocellaris ENSAOCG00000018423
acanthochromis_polyacanthus ENSAPOG00000003195
stegastes_partitus ENSSPAG00000017435
gambusia_affinis ENSGAFG00000012553
xiphophorus_maculatus ENSXMAG00000024070
poecilia_formosa ENSPFOG00000008526
poecilia_mexicana ENSPMEG00000002169
poecilia_reticulata ENSPREG00000008919
fundulus_heteroclitus ENSFHEG00000013630
cyprinodon_variegatus ENSCVAG00000018143
kryptolebias_marmoratus ENSKMAG00000019676
mola_mola ENSMMOG00000014411
scophthalmus_maximus ENSSMAG00000004441
cynoglossus_semilaevis ENSCSEG00000012935
seriola_lalandi_dorsalis ENSSLDG00000009651
mastacembelus_armatus ENSMAMG00000018722
monopterus_albus ENSMALG00000016653
anabas_testudineus ENSATEG00000023068
takifugu_rubripes ENSTRUG00000024071
tetraodon_nigroviridis ENSTNIG00000016233
pundamilia_nyererei ENSPNYG00000017568
haplochromis_burtoni ENSHBUG00000000474
astatotilapia_calliptera ENSACLG00000005054
oreochromis_niloticus ENSONIG00000013177
gasterosteus_aculeatus ENSGACG00000011223
labrus_bergylta ENSLBEG00000025970
maylandia_zebra ENSMZEG00005008337
neolamprologus_brichardi ENSNBRG00000019718
amphilophus_citrinellus ENSACIG00000008651
periophthalmus_magnuspinnatus ENSPMGG00000004031
seriola_dumerili ENSSDUG00000010906
hippocampus_comes ENSHCOG00000020496
gadus_morhua ENSGMOG00000016257
esox_lucius ENSELUG00000022194
pygocentrus_nattereri ENSPNAG00000014513
astyanax_mexicanus ENSAMXG00000003998
ictalurus_punctatus ENSIPUG00000017498
danio_rerio ENSDARG00000069823
lepisosteus_oculatus ENSLOCG00000005777
petromyzon_marinus ENSPMAG00000007437
