ochotona_princeps ENSOPRG00000004719
nannospalax_galili ENSNGAG00000017775
otolemur_garnettii ENSOGAG00000005858
carlito_syrichta ENSTSYG00000011544
dasypus_novemcinctus ENSDNOG00000033512
ursus_americanus ENSUAMG00000008277
capra_hircus ENSCHIG00000011314
meriones_unguiculatus ENSMUGG00000011928
ovis_aries ENSOARG00000012107
propithecus_coquereli ENSPCOG00000014339
microcebus_murinus ENSMICG00000046222
cebus_capucinus_imitator ENSCCAG00000029062
saimiri_boliviensis_boliviensis ENSSBOG00000033521
callithrix_jacchus ENSCJAG00000006382
aotus_nancymaae ENSANAG00000022598
pan_troglodytes ENSPTRG00000000857
pan_paniscus ENSPPAG00000042748
gorilla_gorilla ENSGGOG00000007438
homo_sapiens ENSG00000172260
pongo_abelii ENSPPYG00000001239
nomascus_leucogenys ENSNLEG00000009467
rhinopithecus_roxellana ENSRROG00000036217
rhinopithecus_bieti ENSRBIG00000037635
piliocolobus_tephrosceles ENSPTEG00000035738
colobus_angolensis_palliatus ENSCANG00000035097
macaca_fascicularis ENSMFAG00000034696
macaca_mulatta ENSMMUG00000017314
chlorocebus_sabaeus ENSCSAG00000001380
papio_anubis ENSPANG00000033595
theropithecus_gelada ENSTGEG00000015838
cercocebus_atys ENSCATG00000044090
mandrillus_leucophaeus ENSMLEG00000033755
macaca_nemestrina ENSMNEG00000039308
castor_canadensis ENSCCNG00000015021
tupaia_belangeri ENSTBEG00000009341
loxodonta_africana ENSLAFG00000003594
bos_mutus ENSBMUG00000019733
bos_taurus ENSBTAG00000055278
bison_bison_bison ENSBBBG00000002512
tursiops_truncatus ENSTTRG00000007353
erinaceus_europaeus ENSEEUG00000004396
sorex_araneus ENSSARG00000006195
pteropus_vampyrus ENSPVAG00000008611
myotis_lucifugus ENSMLUG00000014558
equus_caballus ENSECAG00000014027
panthera_tigris_altaica ENSPTIG00000015387
panthera_pardus ENSPPRG00000010074
felis_catus ENSFCAG00000033201
neovison_vison ENSNVIG00000010796
sus_scrofa ENSSSCG00000025085
vicugna_pacos ENSVPAG00000001498
ursus_maritimus ENSUMAG00000006553
ailuropoda_melanoleuca ENSAMEG00000012764
canis_lupus_familiaris ENSCAFG00000020411
canis_lupus_dingo ENSCAFG00020017144
vulpes_vulpes ENSVVUG00000007118
mustela_putorius_furo ENSMPUG00000000921
equus_asinus_asinus ENSEASG00005007828
prolemur_simus ENSPSMG00000005413
oryctolagus_cuniculus ENSOCUG00000008285
procavia_capensis ENSPCAG00000005268
echinops_telfairi ENSETEG00000012251
dasypus_novemcinctus ENSDNOG00000004975
choloepus_hoffmanni ENSCHOG00000003757
chinchilla_lanigera ENSCLAG00000007364
octodon_degus ENSODEG00000005896
cavia_porcellus ENSCPOG00000004501
cavia_aperea ENSCAPG00000016541
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004482
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018766
fukomys_damarensis ENSFDAG00000007910
cricetulus_griseus_crigri_1.0 ENSCGRG00000004041
cricetulus_griseus_crigri-picr ENSCGRG00015021177
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006889
mesocricetus_auratus ENSMAUG00000011980
peromyscus_maniculatus_bairdii ENSPEMG00000017597
microtus_ochrogaster ENSMOCG00000016825
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040037
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026714
mus_spicilegus ENSMSIG00000006272
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025762
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0027212
rattus_norvegicus ENSRNOG00000021410
nannospalax_galili ENSNGAG00000006847
jaculus_jaculus ENSJJAG00000023353
dipodomys_ordii ENSDORG00000007902
urocitellus_parryii ENSUPAG00010014624
ictidomys_tridecemlineatus ENSSTOG00000010905
spermophilus_dauricus ENSSDAG00000017028
marmota_marmota_marmota ENSMMMG00000000368
phascolarctos_cinereus ENSPCIG00000035617
monodelphis_domestica ENSMODG00000000482
notamacropus_eugenii ENSMEUG00000002165
sarcophilus_harrisii ENSSHAG00000011690
ornithorhynchus_anatinus ENSOANG00000030801
anolis_carolinensis ENSACAG00000004220
pogona_vitticeps ENSPVIG00000003886
notechis_scutatus ENSNSUG00000008128
salvator_merianae ENSSMRG00000020096
sphenodon_punctatus ENSSPUG00000016446
apteryx_owenii ENSAOWG00000013840
apteryx_haastii ENSAHAG00000006891
apteryx_rowi ENSARWG00000011318
